Sub	Trial	img1	img2	pos_ran	RT	Reaction
kangpeng-m	1.000000	3.000000	15.000000	1.000000	1017.549	1.000000
kangpeng-m	2.000000	8.000000	17.000000	1.000000	1319.451	0.000000
kangpeng-m	3.000000	5.000000	11.000000	1.000000	1269.441	0.000000
kangpeng-m	4.000000	12.000000	14.000000	2.000000	2285.100	0.000000
kangpeng-m	5.000000	2.000000	19.000000	1.000000	1604.941	0.000000
kangpeng-m	6.000000	13.000000	16.000000	2.000000	3017.471	0.000000
kangpeng-m	7.000000	4.000000	9.000000	1.000000	1877.224	1.000000
kangpeng-m	8.000000	4.000000	16.000000	2.000000	1222.731	0.000000
kangpeng-m	9.000000	2.000000	18.000000	2.000000	1831.554	1.000000
kangpeng-m	10.000000	10.000000	18.000000	1.000000	900.177	0.000000
kangpeng-m	11.000000	1.000000	17.000000	1.000000	2179.673	0.000000
kangpeng-m	12.000000	15.000000	18.000000	1.000000	1898.040	0.000000
kangpeng-m	13.000000	5.000000	8.000000	2.000000	1931.646	0.000000
kangpeng-m	14.000000	3.000000	11.000000	1.000000	1001.857	0.000000
kangpeng-m	15.000000	2.000000	15.000000	2.000000	1353.301	1.000000
kangpeng-m	16.000000	9.000000	19.000000	1.000000	1306.877	0.000000
kangpeng-m	17.000000	1.000000	4.000000	2.000000	1040.779	1.000000
kangpeng-m	18.000000	1.000000	16.000000	1.000000	1645.383	1.000000
kangpeng-m	19.000000	16.000000	19.000000	2.000000	1863.609	1.000000
kangpeng-m	20.000000	1.000000	8.000000	2.000000	2008.651	0.000000
kangpeng-m	21.000000	10.000000	15.000000	1.000000	1296.456	0.000000
kangpeng-m	22.000000	4.000000	13.000000	1.000000	955.383	1.000000
kangpeng-m	23.000000	9.000000	12.000000	2.000000	2569.370	0.000000
kangpeng-m	24.000000	7.000000	15.000000	1.000000	1992.170	0.000000
kangpeng-m	25.000000	2.000000	10.000000	1.000000	1638.195	0.000000
kangpeng-m	26.000000	5.000000	15.000000	2.000000	693.062	1.000000
kangpeng-m	27.000000	5.000000	14.000000	2.000000	1266.220	0.000000
kangpeng-m	28.000000	4.000000	7.000000	1.000000	931.259	1.000000
kangpeng-m	29.000000	3.000000	19.000000	2.000000	1567.641	1.000000
kangpeng-m	30.000000	9.000000	18.000000	1.000000	1254.244	0.000000
kangpeng-m	31.000000	8.000000	12.000000	2.000000	1817.292	0.000000
kangpeng-m	32.000000	13.000000	20.000000	1.000000	1924.131	0.000000
kangpeng-m	33.000000	8.000000	14.000000	2.000000	2168.457	0.000000
kangpeng-m	34.000000	4.000000	10.000000	1.000000	794.094	1.000000
kangpeng-m	35.000000	3.000000	20.000000	1.000000	2334.958	1.000000
kangpeng-m	36.000000	3.000000	12.000000	1.000000	1464.373	1.000000
kangpeng-m	37.000000	12.000000	15.000000	1.000000	1114.072	0.000000
kangpeng-m	38.000000	15.000000	20.000000	1.000000	1427.804	1.000000
kangpeng-m	39.000000	10.000000	16.000000	1.000000	1835.729	1.000000
kangpeng-m	40.000000	2.000000	5.000000	2.000000	1902.831	1.000000
kangpeng-m	41.000000	8.000000	10.000000	1.000000	3124.925	0.000000
kangpeng-m	42.000000	1.000000	13.000000	1.000000	1382.133	0.000000
kangpeng-m	43.000000	9.000000	20.000000	1.000000	2502.189	0.000000
kangpeng-m	44.000000	13.000000	14.000000	2.000000	1646.186	1.000000
kangpeng-m	45.000000	4.000000	18.000000	1.000000	1593.996	1.000000
kangpeng-m	46.000000	8.000000	20.000000	2.000000	1989.405	1.000000
kangpeng-m	47.000000	11.000000	18.000000	1.000000	1861.928	0.000000
kangpeng-m	48.000000	5.000000	12.000000	1.000000	2008.630	1.000000
kangpeng-m	49.000000	9.000000	14.000000	2.000000	5325.915	1.000000
kangpeng-m	50.000000	6.000000	17.000000	2.000000	1856.070	0.000000
kangpeng-m	51.000000	10.000000	14.000000	1.000000	2035.830	1.000000
kangpeng-m	52.000000	5.000000	9.000000	2.000000	2559.247	0.000000
kangpeng-m	53.000000	2.000000	20.000000	2.000000	3415.992	1.000000
kangpeng-m	54.000000	2.000000	4.000000	1.000000	954.890	0.000000
kangpeng-m	55.000000	7.000000	18.000000	2.000000	930.597	1.000000
kangpeng-m	56.000000	2.000000	3.000000	1.000000	1865.497	0.000000
kangpeng-m	57.000000	8.000000	18.000000	2.000000	1228.929	1.000000
kangpeng-m	58.000000	3.000000	17.000000	1.000000	2792.202	1.000000
kangpeng-m	59.000000	6.000000	7.000000	1.000000	3434.625	0.000000
kangpeng-m	60.000000	14.000000	17.000000	2.000000	1126.161	0.000000
kangpeng-m	61.000000	15.000000	17.000000	2.000000	957.328	0.000000
kangpeng-m	62.000000	6.000000	19.000000	1.000000	3479.266	1.000000
kangpeng-m	63.000000	1.000000	3.000000	1.000000	1237.667	0.000000
kangpeng-m	64.000000	6.000000	12.000000	1.000000	2105.069	1.000000
kangpeng-m	65.000000	8.000000	13.000000	2.000000	1746.387	1.000000
kangpeng-m	66.000000	8.000000	11.000000	1.000000	801.024	0.000000
kangpeng-m	67.000000	15.000000	16.000000	2.000000	794.895	0.000000
kangpeng-m	68.000000	3.000000	14.000000	1.000000	853.885	1.000000
kangpeng-m	69.000000	1.000000	19.000000	2.000000	6426.990	0.000000
kangpeng-m	70.000000	1.000000	15.000000	1.000000	944.519	0.000000
kangpeng-m	71.000000	3.000000	7.000000	1.000000	1771.381	1.000000
kangpeng-m	72.000000	1.000000	9.000000	2.000000	1094.551	0.000000
kangpeng-m	73.000000	1.000000	20.000000	1.000000	1133.025	1.000000
kangpeng-m	74.000000	8.000000	16.000000	2.000000	836.506	0.000000
kangpeng-m	75.000000	3.000000	16.000000	2.000000	3731.595	0.000000
kangpeng-m	76.000000	2.000000	8.000000	1.000000	2765.512	0.000000
kangpeng-m	77.000000	15.000000	19.000000	2.000000	7333.242	0.000000
kangpeng-m	78.000000	3.000000	18.000000	1.000000	2158.302	1.000000
kangpeng-m	79.000000	19.000000	20.000000	1.000000	3539.121	1.000000
kangpeng-m	80.000000	4.000000	15.000000	1.000000	1748.045	1.000000
kangpeng-m	81.000000	7.000000	8.000000	2.000000	2266.726	0.000000
kangpeng-m	82.000000	9.000000	17.000000	2.000000	3172.264	0.000000
kangpeng-m	83.000000	2.000000	16.000000	1.000000	1288.900	1.000000
kangpeng-m	84.000000	18.000000	20.000000	2.000000	3194.965	0.000000
kangpeng-m	85.000000	14.000000	20.000000	1.000000	5263.313	0.000000
kangpeng-m	86.000000	2.000000	6.000000	2.000000	3708.464	1.000000
kangpeng-m	87.000000	7.000000	17.000000	2.000000	1739.290	0.000000
kangpeng-m	88.000000	6.000000	16.000000	2.000000	7863.558	0.000000
kangpeng-m	89.000000	17.000000	20.000000	1.000000	1944.876	1.000000
kangpeng-m	90.000000	16.000000	17.000000	1.000000	4407.310	0.000000
kangpeng-m	91.000000	5.000000	7.000000	1.000000	1913.945	0.000000
kangpeng-m	92.000000	10.000000	19.000000	1.000000	1458.554	0.000000
kangpeng-m	93.000000	4.000000	11.000000	1.000000	1233.035	1.000000
kangpeng-m	94.000000	3.000000	5.000000	2.000000	1188.500	1.000000
kangpeng-m	95.000000	1.000000	11.000000	2.000000	1875.338	1.000000
kangpeng-m	96.000000	6.000000	8.000000	1.000000	3625.295	0.000000
kangpeng-m	97.000000	7.000000	19.000000	2.000000	2864.877	1.000000
kangpeng-m	98.000000	9.000000	13.000000	2.000000	5134.004	1.000000
kangpeng-m	99.000000	14.000000	19.000000	2.000000	2074.844	1.000000
kangpeng-m	100.000000	13.000000	18.000000	2.000000	3791.266	1.000000
kangpeng-m	101.000000	9.000000	11.000000	2.000000	1004.442	1.000000
kangpeng-m	102.000000	3.000000	9.000000	1.000000	2894.880	1.000000
kangpeng-m	103.000000	5.000000	10.000000	2.000000	3907.039	0.000000
kangpeng-m	104.000000	8.000000	9.000000	2.000000	3173.518	0.000000
kangpeng-m	105.000000	13.000000	17.000000	1.000000	4638.877	1.000000
kangpeng-m	106.000000	5.000000	18.000000	1.000000	2341.900	1.000000
kangpeng-m	107.000000	5.000000	17.000000	2.000000	2455.852	0.000000
kangpeng-m	108.000000	11.000000	13.000000	1.000000	974.615	1.000000
kangpeng-m	109.000000	11.000000	19.000000	2.000000	2296.241	0.000000
kangpeng-m	110.000000	5.000000	13.000000	1.000000	1577.071	1.000000
kangpeng-m	111.000000	4.000000	5.000000	1.000000	1069.051	1.000000
kangpeng-m	112.000000	4.000000	6.000000	1.000000	1396.566	1.000000
kangpeng-m	113.000000	6.000000	18.000000	1.000000	2088.498	1.000000
kangpeng-m	114.000000	2.000000	14.000000	2.000000	2774.980	1.000000
kangpeng-m	115.000000	11.000000	20.000000	2.000000	1289.788	0.000000
kangpeng-m	116.000000	14.000000	18.000000	2.000000	962.930	1.000000
kangpeng-m	117.000000	5.000000	20.000000	1.000000	2737.080	1.000000
kangpeng-m	118.000000	12.000000	18.000000	1.000000	1563.094	0.000000
kangpeng-m	119.000000	10.000000	11.000000	2.000000	1026.001	1.000000
kangpeng-m	120.000000	2.000000	17.000000	2.000000	1212.152	1.000000
kangpeng-m	121.000000	18.000000	19.000000	2.000000	1085.264	0.000000
kangpeng-m	122.000000	13.000000	15.000000	1.000000	985.711	0.000000
kangpeng-m	123.000000	1.000000	5.000000	1.000000	1182.932	0.000000
kangpeng-m	124.000000	10.000000	13.000000	2.000000	1872.687	1.000000
kangpeng-m	125.000000	6.000000	15.000000	1.000000	972.173	0.000000
kangpeng-m	126.000000	1.000000	7.000000	2.000000	2896.523	0.000000
kangpeng-m	127.000000	4.000000	17.000000	1.000000	907.960	1.000000
kangpeng-m	128.000000	5.000000	16.000000	2.000000	1647.123	0.000000
kangpeng-m	129.000000	7.000000	10.000000	2.000000	2879.888	1.000000
kangpeng-m	130.000000	11.000000	17.000000	2.000000	1587.390	0.000000
kangpeng-m	131.000000	1.000000	10.000000	1.000000	2077.749	1.000000
kangpeng-m	132.000000	12.000000	19.000000	2.000000	1558.538	1.000000
kangpeng-m	133.000000	5.000000	6.000000	1.000000	2512.610	0.000000
kangpeng-m	134.000000	10.000000	17.000000	2.000000	3828.106	0.000000
kangpeng-m	135.000000	11.000000	16.000000	1.000000	969.015	1.000000
kangpeng-m	136.000000	16.000000	18.000000	1.000000	773.413	0.000000
kangpeng-m	137.000000	3.000000	13.000000	2.000000	1007.877	0.000000
kangpeng-m	138.000000	7.000000	11.000000	2.000000	1016.049	1.000000
kangpeng-m	139.000000	9.000000	15.000000	1.000000	967.137	0.000000
kangpeng-m	140.000000	9.000000	16.000000	1.000000	1160.899	1.000000
kangpeng-m	141.000000	1.000000	18.000000	2.000000	3802.248	1.000000
kangpeng-m	142.000000	11.000000	15.000000	1.000000	2417.628	1.000000
kangpeng-m	143.000000	6.000000	13.000000	1.000000	1338.392	1.000000
kangpeng-m	144.000000	2.000000	12.000000	1.000000	1014.158	1.000000
kangpeng-m	145.000000	4.000000	12.000000	1.000000	785.630	1.000000
kangpeng-m	146.000000	11.000000	14.000000	2.000000	2355.843	0.000000
kangpeng-m	147.000000	4.000000	19.000000	1.000000	7521.409	1.000000
kangpeng-m	148.000000	9.000000	10.000000	1.000000	5861.550	0.000000
kangpeng-m	149.000000	10.000000	12.000000	2.000000	7892.713	0.000000
kangpeng-m	150.000000	12.000000	20.000000	1.000000	5101.108	0.000000
kangpeng-m	151.000000	12.000000	13.000000	2.000000	7714.916	1.000000
kangpeng-m	152.000000	12.000000	17.000000	1.000000	 0.000	-1.000000
kangpeng-m	153.000000	1.000000	2.000000	1.000000	2223.673	1.000000
kangpeng-m	154.000000	16.000000	20.000000	2.000000	1447.058	1.000000
kangpeng-m	155.000000	17.000000	19.000000	1.000000	3741.343	0.000000
kangpeng-m	156.000000	7.000000	16.000000	1.000000	3041.562	1.000000
kangpeng-m	157.000000	1.000000	6.000000	1.000000	1245.931	0.000000
