Sub	Trial	img1	img2	pos_ran	RT	Reaction
xieke-f	1.000000	2.000000	10.000000	2.000000	850.834	0.000000
xieke-f	2.000000	4.000000	15.000000	1.000000	1059.906	1.000000
xieke-f	3.000000	1.000000	12.000000	1.000000	1476.310	1.000000
xieke-f	4.000000	6.000000	13.000000	1.000000	1217.977	0.000000
xieke-f	5.000000	8.000000	14.000000	1.000000	1453.936	0.000000
xieke-f	6.000000	5.000000	20.000000	1.000000	1033.525	1.000000
xieke-f	7.000000	2.000000	9.000000	2.000000	961.280	0.000000
xieke-f	8.000000	18.000000	19.000000	1.000000	811.508	1.000000
xieke-f	9.000000	7.000000	19.000000	2.000000	1580.915	0.000000
xieke-f	10.000000	6.000000	20.000000	2.000000	705.653	0.000000
xieke-f	11.000000	3.000000	11.000000	2.000000	566.030	1.000000
xieke-f	12.000000	9.000000	13.000000	1.000000	886.508	1.000000
xieke-f	13.000000	1.000000	16.000000	1.000000	817.425	0.000000
xieke-f	14.000000	3.000000	13.000000	2.000000	906.471	0.000000
xieke-f	15.000000	2.000000	14.000000	2.000000	1128.488	0.000000
xieke-f	16.000000	2.000000	20.000000	2.000000	650.502	0.000000
xieke-f	17.000000	16.000000	17.000000	2.000000	1171.068	1.000000
xieke-f	18.000000	13.000000	18.000000	2.000000	726.480	1.000000
xieke-f	19.000000	8.000000	13.000000	2.000000	1036.780	0.000000
xieke-f	20.000000	8.000000	10.000000	2.000000	860.610	0.000000
xieke-f	21.000000	6.000000	7.000000	1.000000	2039.950	0.000000
xieke-f	22.000000	3.000000	9.000000	1.000000	1906.795	1.000000
xieke-f	23.000000	10.000000	12.000000	2.000000	784.721	0.000000
xieke-f	24.000000	11.000000	16.000000	1.000000	647.482	1.000000
xieke-f	25.000000	8.000000	16.000000	1.000000	1115.925	0.000000
xieke-f	26.000000	17.000000	19.000000	2.000000	905.187	1.000000
xieke-f	27.000000	3.000000	12.000000	2.000000	1383.204	0.000000
xieke-f	28.000000	2.000000	13.000000	2.000000	885.143	0.000000
xieke-f	29.000000	1.000000	3.000000	2.000000	1080.716	0.000000
xieke-f	30.000000	2.000000	8.000000	2.000000	1269.132	0.000000
xieke-f	31.000000	2.000000	18.000000	2.000000	706.564	1.000000
xieke-f	32.000000	15.000000	18.000000	1.000000	2129.251	1.000000
xieke-f	33.000000	6.000000	18.000000	1.000000	1594.294	0.000000
xieke-f	34.000000	2.000000	17.000000	1.000000	1119.475	1.000000
xieke-f	35.000000	2.000000	19.000000	1.000000	832.708	1.000000
xieke-f	36.000000	4.000000	18.000000	1.000000	1149.205	1.000000
xieke-f	37.000000	11.000000	18.000000	1.000000	1017.141	1.000000
xieke-f	38.000000	5.000000	14.000000	1.000000	1876.233	1.000000
xieke-f	39.000000	3.000000	14.000000	1.000000	902.093	1.000000
xieke-f	40.000000	2.000000	3.000000	1.000000	908.774	0.000000
xieke-f	41.000000	2.000000	11.000000	2.000000	1792.540	1.000000
xieke-f	42.000000	4.000000	8.000000	1.000000	589.220	1.000000
xieke-f	43.000000	1.000000	9.000000	1.000000	928.179	0.000000
xieke-f	44.000000	13.000000	17.000000	1.000000	1781.117	0.000000
xieke-f	45.000000	3.000000	19.000000	1.000000	901.070	1.000000
xieke-f	46.000000	10.000000	15.000000	2.000000	868.378	1.000000
xieke-f	47.000000	16.000000	18.000000	1.000000	675.211	0.000000
xieke-f	48.000000	4.000000	13.000000	2.000000	747.051	0.000000
xieke-f	49.000000	1.000000	10.000000	2.000000	700.881	0.000000
xieke-f	50.000000	7.000000	16.000000	2.000000	793.831	0.000000
xieke-f	51.000000	6.000000	8.000000	2.000000	833.968	1.000000
xieke-f	52.000000	3.000000	10.000000	1.000000	867.818	1.000000
xieke-f	53.000000	14.000000	17.000000	2.000000	1096.814	1.000000
xieke-f	54.000000	14.000000	18.000000	2.000000	1623.265	1.000000
xieke-f	55.000000	1.000000	6.000000	2.000000	844.998	0.000000
xieke-f	56.000000	7.000000	10.000000	1.000000	703.709	1.000000
xieke-f	57.000000	4.000000	20.000000	2.000000	943.390	0.000000
