Sub	Trial	img1	img2	pos_ran	RT	Reaction
jinying-f-18	1.000000	9.000000	14.000000	2.000000	814.532	0.000000
jinying-f-18	2.000000	6.000000	11.000000	2.000000	830.346	1.000000
jinying-f-18	3.000000	3.000000	6.000000	1.000000	1123.968	0.000000
jinying-f-18	4.000000	5.000000	12.000000	2.000000	793.299	0.000000
jinying-f-18	5.000000	12.000000	15.000000	2.000000	1252.499	1.000000
jinying-f-18	6.000000	4.000000	7.000000	1.000000	751.404	1.000000
jinying-f-18	7.000000	6.000000	20.000000	2.000000	840.477	0.000000
jinying-f-18	8.000000	10.000000	14.000000	1.000000	978.612	1.000000
jinying-f-18	9.000000	6.000000	18.000000	1.000000	1185.737	0.000000
jinying-f-18	10.000000	8.000000	17.000000	1.000000	2858.537	1.000000
jinying-f-18	11.000000	7.000000	8.000000	1.000000	857.705	1.000000
jinying-f-18	12.000000	8.000000	11.000000	2.000000	870.911	1.000000
jinying-f-18	13.000000	2.000000	20.000000	1.000000	1390.517	1.000000
jinying-f-18	14.000000	7.000000	10.000000	2.000000	761.739	0.000000
jinying-f-18	15.000000	4.000000	11.000000	1.000000	953.122	1.000000
jinying-f-18	16.000000	9.000000	17.000000	1.000000	1698.695	1.000000
jinying-f-18	17.000000	4.000000	17.000000	1.000000	588.567	1.000000
jinying-f-18	18.000000	17.000000	19.000000	1.000000	1052.199	1.000000
jinying-f-18	19.000000	2.000000	7.000000	1.000000	1589.928	0.000000
jinying-f-18	20.000000	2.000000	15.000000	1.000000	1110.401	0.000000
jinying-f-18	21.000000	14.000000	17.000000	1.000000	798.375	0.000000
jinying-f-18	22.000000	11.000000	20.000000	1.000000	654.719	1.000000
jinying-f-18	23.000000	8.000000	12.000000	2.000000	601.499	0.000000
jinying-f-18	24.000000	4.000000	15.000000	2.000000	1199.867	0.000000
jinying-f-18	25.000000	7.000000	14.000000	1.000000	628.742	1.000000
jinying-f-18	26.000000	13.000000	16.000000	1.000000	1686.628	1.000000
jinying-f-18	27.000000	9.000000	16.000000	2.000000	1955.597	0.000000
jinying-f-18	28.000000	6.000000	13.000000	2.000000	1253.979	0.000000
jinying-f-18	29.000000	1.000000	15.000000	2.000000	2562.731	1.000000
jinying-f-18	30.000000	12.000000	14.000000	2.000000	1415.901	1.000000
jinying-f-18	31.000000	8.000000	13.000000	1.000000	1589.141	1.000000
jinying-f-18	32.000000	11.000000	19.000000	1.000000	796.996	1.000000
jinying-f-18	33.000000	6.000000	8.000000	2.000000	1391.005	0.000000
jinying-f-18	34.000000	2.000000	3.000000	1.000000	1008.306	1.000000
jinying-f-18	35.000000	12.000000	19.000000	2.000000	804.998	1.000000
jinying-f-18	36.000000	13.000000	20.000000	1.000000	945.297	1.000000
jinying-f-18	37.000000	1.000000	13.000000	1.000000	1655.369	1.000000
jinying-f-18	38.000000	5.000000	11.000000	1.000000	760.194	0.000000
jinying-f-18	39.000000	9.000000	19.000000	1.000000	1721.008	1.000000
jinying-f-18	40.000000	1.000000	8.000000	1.000000	811.231	0.000000
jinying-f-18	41.000000	2.000000	14.000000	1.000000	668.545	1.000000
jinying-f-18	42.000000	1.000000	14.000000	2.000000	596.841	0.000000
jinying-f-18	43.000000	14.000000	19.000000	1.000000	639.456	0.000000
jinying-f-18	44.000000	1.000000	16.000000	1.000000	579.273	1.000000
jinying-f-18	45.000000	1.000000	11.000000	1.000000	562.607	0.000000
jinying-f-18	46.000000	3.000000	16.000000	1.000000	565.420	1.000000
jinying-f-18	47.000000	3.000000	11.000000	2.000000	1042.525	1.000000
jinying-f-18	48.000000	6.000000	9.000000	2.000000	1022.862	0.000000
jinying-f-18	49.000000	15.000000	17.000000	1.000000	1000.225	1.000000
jinying-f-18	50.000000	2.000000	8.000000	2.000000	2567.658	0.000000
jinying-f-18	51.000000	19.000000	20.000000	2.000000	720.002	0.000000
jinying-f-18	52.000000	4.000000	12.000000	2.000000	562.060	0.000000
jinying-f-18	53.000000	2.000000	11.000000	1.000000	1007.930	0.000000
jinying-f-18	54.000000	3.000000	4.000000	2.000000	637.808	1.000000
jinying-f-18	55.000000	15.000000	20.000000	2.000000	591.556	0.000000
jinying-f-18	56.000000	10.000000	16.000000	2.000000	1668.197	0.000000
jinying-f-18	57.000000	15.000000	18.000000	2.000000	786.768	1.000000
jinying-f-18	58.000000	9.000000	12.000000	1.000000	1468.879	1.000000
jinying-f-18	59.000000	2.000000	16.000000	1.000000	1244.955	1.000000
