Sub	Trial	img1	img2	pos_ran	RT	Reaction
gbh-m	1.000000	15.000000	16.000000	1.000000	3736.296	1.000000
gbh-m	2.000000	13.000000	15.000000	1.000000	828.215	0.000000
gbh-m	3.000000	4.000000	8.000000	2.000000	743.666	0.000000
gbh-m	4.000000	5.000000	7.000000	1.000000	1832.540	0.000000
gbh-m	5.000000	4.000000	16.000000	1.000000	979.134	1.000000
gbh-m	6.000000	7.000000	8.000000	1.000000	1455.639	0.000000
gbh-m	7.000000	7.000000	10.000000	1.000000	949.479	1.000000
gbh-m	8.000000	8.000000	20.000000	2.000000	865.280	0.000000
gbh-m	9.000000	6.000000	20.000000	2.000000	2239.282	0.000000
gbh-m	10.000000	3.000000	14.000000	1.000000	862.699	1.000000
gbh-m	11.000000	11.000000	18.000000	2.000000	1997.076	1.000000
gbh-m	12.000000	5.000000	8.000000	1.000000	2122.969	0.000000
gbh-m	13.000000	2.000000	5.000000	1.000000	1261.191	0.000000
gbh-m	14.000000	2.000000	13.000000	2.000000	984.683	0.000000
gbh-m	15.000000	4.000000	6.000000	1.000000	781.029	1.000000
gbh-m	16.000000	11.000000	14.000000	1.000000	718.369	1.000000
gbh-m	17.000000	3.000000	13.000000	2.000000	716.758	0.000000
gbh-m	18.000000	3.000000	19.000000	1.000000	782.169	1.000000
gbh-m	19.000000	4.000000	5.000000	1.000000	661.053	1.000000
gbh-m	20.000000	4.000000	19.000000	1.000000	611.516	1.000000
gbh-m	21.000000	15.000000	17.000000	1.000000	637.335	1.000000
gbh-m	22.000000	16.000000	19.000000	1.000000	1490.917	0.000000
gbh-m	23.000000	6.000000	13.000000	1.000000	1448.998	0.000000
gbh-m	24.000000	14.000000	18.000000	1.000000	781.198	0.000000
gbh-m	25.000000	11.000000	15.000000	1.000000	668.529	1.000000
gbh-m	26.000000	12.000000	20.000000	1.000000	781.204	0.000000
gbh-m	27.000000	3.000000	7.000000	2.000000	5233.775	0.000000
gbh-m	28.000000	3.000000	9.000000	1.000000	2110.251	1.000000
gbh-m	29.000000	13.000000	14.000000	1.000000	2338.641	0.000000
gbh-m	30.000000	13.000000	18.000000	1.000000	663.879	0.000000
gbh-m	31.000000	11.000000	12.000000	1.000000	628.895	1.000000
gbh-m	32.000000	9.000000	10.000000	2.000000	1257.088	0.000000
gbh-m	33.000000	10.000000	13.000000	2.000000	1415.050	1.000000
gbh-m	34.000000	1.000000	6.000000	2.000000	790.825	0.000000
gbh-m	35.000000	1.000000	5.000000	1.000000	912.403	0.000000
gbh-m	36.000000	4.000000	9.000000	2.000000	744.519	0.000000
gbh-m	37.000000	3.000000	16.000000	2.000000	782.355	0.000000
gbh-m	38.000000	1.000000	9.000000	1.000000	628.199	0.000000
gbh-m	39.000000	5.000000	10.000000	2.000000	746.165	0.000000
gbh-m	40.000000	16.000000	17.000000	2.000000	1057.305	0.000000
gbh-m	41.000000	9.000000	14.000000	2.000000	 0.211	1.000000
gbh-m	42.000000	16.000000	18.000000	1.000000	746.972	0.000000
gbh-m	43.000000	8.000000	13.000000	1.000000	665.627	0.000000
gbh-m	44.000000	1.000000	16.000000	1.000000	1182.355	0.000000
gbh-m	45.000000	8.000000	19.000000	2.000000	1068.905	1.000000
gbh-m	46.000000	9.000000	13.000000	2.000000	552.539	0.000000
gbh-m	47.000000	18.000000	19.000000	1.000000	442.143	0.000000
gbh-m	48.000000	9.000000	20.000000	2.000000	1365.501	1.000000
gbh-m	49.000000	7.000000	12.000000	1.000000	894.343	1.000000
gbh-m	50.000000	17.000000	20.000000	1.000000	1170.638	1.000000
gbh-m	51.000000	3.000000	8.000000	2.000000	1410.901	0.000000
gbh-m	52.000000	11.000000	17.000000	1.000000	743.051	1.000000
gbh-m	53.000000	6.000000	17.000000	2.000000	1488.733	0.000000
gbh-m	54.000000	6.000000	19.000000	1.000000	1300.727	0.000000
gbh-m	55.000000	10.000000	18.000000	2.000000	785.637	1.000000
gbh-m	56.000000	3.000000	18.000000	2.000000	748.266	1.000000
gbh-m	57.000000	17.000000	19.000000	2.000000	1287.846	1.000000
gbh-m	58.000000	10.000000	20.000000	1.000000	829.182	0.000000
gbh-m	59.000000	5.000000	12.000000	1.000000	981.029	1.000000
gbh-m	60.000000	4.000000	20.000000	2.000000	584.646	0.000000
gbh-m	61.000000	4.000000	10.000000	1.000000	671.954	1.000000
gbh-m	62.000000	6.000000	14.000000	1.000000	738.045	0.000000
gbh-m	63.000000	13.000000	16.000000	2.000000	1020.425	1.000000
gbh-m	64.000000	5.000000	11.000000	1.000000	668.707	0.000000
gbh-m	65.000000	5.000000	13.000000	2.000000	1091.293	1.000000
gbh-m	66.000000	12.000000	18.000000	2.000000	750.960	1.000000
gbh-m	67.000000	4.000000	11.000000	1.000000	1103.055	1.000000
gbh-m	68.000000	6.000000	18.000000	1.000000	1100.729	0.000000
gbh-m	69.000000	14.000000	15.000000	1.000000	710.450	0.000000
gbh-m	70.000000	10.000000	11.000000	2.000000	714.592	1.000000
gbh-m	71.000000	4.000000	17.000000	2.000000	737.975	0.000000
gbh-m	72.000000	1.000000	8.000000	2.000000	1029.567	0.000000
gbh-m	73.000000	7.000000	16.000000	1.000000	1609.581	1.000000
gbh-m	74.000000	7.000000	20.000000	1.000000	1015.770	0.000000
gbh-m	75.000000	13.000000	17.000000	1.000000	1326.549	0.000000
gbh-m	76.000000	15.000000	18.000000	1.000000	5203.609	0.000000
gbh-m	77.000000	5.000000	17.000000	2.000000	3443.627	0.000000
gbh-m	78.000000	5.000000	9.000000	2.000000	1017.994	1.000000
gbh-m	79.000000	6.000000	15.000000	1.000000	909.980	0.000000
gbh-m	80.000000	3.000000	11.000000	2.000000	624.762	1.000000
gbh-m	81.000000	2.000000	14.000000	1.000000	1079.034	1.000000
gbh-m	82.000000	1.000000	4.000000	1.000000	632.479	0.000000
gbh-m	83.000000	9.000000	16.000000	2.000000	1401.489	0.000000
gbh-m	84.000000	1.000000	14.000000	1.000000	1092.296	0.000000
gbh-m	85.000000	9.000000	19.000000	2.000000	908.220	0.000000
gbh-m	86.000000	11.000000	13.000000	2.000000	746.022	0.000000
gbh-m	87.000000	17.000000	18.000000	2.000000	597.469	1.000000
gbh-m	88.000000	2.000000	15.000000	2.000000	1528.884	1.000000
gbh-m	89.000000	6.000000	8.000000	2.000000	1330.034	0.000000
gbh-m	90.000000	10.000000	15.000000	2.000000	717.452	1.000000
gbh-m	91.000000	10.000000	12.000000	1.000000	975.372	1.000000
gbh-m	92.000000	2.000000	8.000000	1.000000	938.581	0.000000
gbh-m	93.000000	3.000000	12.000000	2.000000	988.274	0.000000
gbh-m	94.000000	1.000000	20.000000	2.000000	1343.419	1.000000
gbh-m	95.000000	1.000000	2.000000	2.000000	1131.438	0.000000
gbh-m	96.000000	12.000000	15.000000	2.000000	590.751	1.000000
gbh-m	97.000000	6.000000	16.000000	2.000000	555.221	0.000000
gbh-m	98.000000	8.000000	17.000000	2.000000	1021.623	1.000000
gbh-m	99.000000	9.000000	18.000000	2.000000	552.871	1.000000
gbh-m	100.000000	1.000000	13.000000	2.000000	590.809	0.000000
gbh-m	101.000000	7.000000	18.000000	1.000000	587.954	0.000000
gbh-m	102.000000	4.000000	14.000000	2.000000	522.017	0.000000
gbh-m	103.000000	8.000000	12.000000	1.000000	823.926	0.000000
gbh-m	104.000000	7.000000	14.000000	2.000000	820.100	1.000000
gbh-m	105.000000	11.000000	16.000000	2.000000	517.862	0.000000
gbh-m	106.000000	5.000000	15.000000	1.000000	624.746	0.000000
gbh-m	107.000000	6.000000	11.000000	1.000000	657.581	0.000000
gbh-m	108.000000	4.000000	18.000000	2.000000	548.998	1.000000
gbh-m	109.000000	8.000000	11.000000	2.000000	585.905	0.000000
gbh-m	110.000000	5.000000	20.000000	2.000000	1793.980	1.000000
gbh-m	111.000000	4.000000	13.000000	1.000000	714.755	1.000000
