Sub	Trial	img1	img2	pos_ran	RT	Reaction
jinqian-f-19-5	1.000000	1.000000	14.000000	2.000000	2420.806	0.000000
jinqian-f-19-5	2.000000	4.000000	14.000000	1.000000	827.953	1.000000
jinqian-f-19-5	3.000000	1.000000	12.000000	1.000000	844.630	0.000000
jinqian-f-19-5	4.000000	5.000000	9.000000	2.000000	661.921	1.000000
jinqian-f-19-5	5.000000	14.000000	16.000000	1.000000	797.720	1.000000
jinqian-f-19-5	6.000000	4.000000	18.000000	2.000000	597.489	0.000000
jinqian-f-19-5	7.000000	8.000000	9.000000	1.000000	1691.611	0.000000
jinqian-f-19-5	8.000000	5.000000	18.000000	1.000000	686.246	1.000000
jinqian-f-19-5	9.000000	9.000000	19.000000	2.000000	845.795	0.000000
jinqian-f-19-5	10.000000	10.000000	19.000000	1.000000	1049.893	1.000000
jinqian-f-19-5	11.000000	14.000000	18.000000	1.000000	522.032	1.000000
jinqian-f-19-5	12.000000	8.000000	11.000000	1.000000	765.710	0.000000
jinqian-f-19-5	13.000000	8.000000	14.000000	2.000000	1043.050	1.000000
jinqian-f-19-5	14.000000	3.000000	4.000000	1.000000	1829.654	0.000000
jinqian-f-19-5	15.000000	3.000000	12.000000	1.000000	843.521	1.000000
jinqian-f-19-5	16.000000	6.000000	9.000000	2.000000	1498.181	1.000000
jinqian-f-19-5	17.000000	5.000000	20.000000	2.000000	1508.342	0.000000
jinqian-f-19-5	18.000000	17.000000	20.000000	2.000000	1037.412	0.000000
jinqian-f-19-5	19.000000	5.000000	12.000000	2.000000	1535.999	0.000000
jinqian-f-19-5	20.000000	1.000000	4.000000	1.000000	988.008	0.000000
jinqian-f-19-5	21.000000	3.000000	18.000000	1.000000	1011.653	0.000000
jinqian-f-19-5	22.000000	4.000000	5.000000	1.000000	1389.846	1.000000
jinqian-f-19-5	23.000000	5.000000	6.000000	2.000000	1622.312	0.000000
jinqian-f-19-5	24.000000	5.000000	16.000000	2.000000	1639.780	0.000000
jinqian-f-19-5	25.000000	13.000000	15.000000	1.000000	1025.638	0.000000
jinqian-f-19-5	26.000000	2.000000	19.000000	1.000000	2057.224	1.000000
jinqian-f-19-5	27.000000	1.000000	11.000000	1.000000	1154.836	0.000000
jinqian-f-19-5	28.000000	6.000000	18.000000	2.000000	767.156	0.000000
jinqian-f-19-5	29.000000	15.000000	17.000000	1.000000	2762.238	0.000000
jinqian-f-19-5	30.000000	4.000000	20.000000	2.000000	1070.268	0.000000
jinqian-f-19-5	31.000000	11.000000	12.000000	1.000000	737.187	1.000000
jinqian-f-19-5	32.000000	6.000000	16.000000	2.000000	739.662	0.000000
jinqian-f-19-5	33.000000	1.000000	17.000000	1.000000	1892.358	1.000000
jinqian-f-19-5	34.000000	16.000000	20.000000	2.000000	789.989	0.000000
jinqian-f-19-5	35.000000	13.000000	19.000000	1.000000	1209.596	1.000000
jinqian-f-19-5	36.000000	11.000000	14.000000	2.000000	2315.069	1.000000
jinqian-f-19-5	37.000000	4.000000	10.000000	1.000000	1234.245	1.000000
jinqian-f-19-5	38.000000	9.000000	18.000000	2.000000	675.462	0.000000
jinqian-f-19-5	39.000000	6.000000	7.000000	1.000000	1465.635	0.000000
jinqian-f-19-5	40.000000	17.000000	19.000000	1.000000	765.408	1.000000
jinqian-f-19-5	41.000000	4.000000	6.000000	1.000000	812.150	1.000000
jinqian-f-19-5	42.000000	7.000000	11.000000	1.000000	808.596	0.000000
jinqian-f-19-5	43.000000	5.000000	14.000000	2.000000	544.158	0.000000
jinqian-f-19-5	44.000000	9.000000	16.000000	1.000000	832.426	1.000000
jinqian-f-19-5	45.000000	2.000000	20.000000	2.000000	764.712	0.000000
