Sub	Trial	img1	img2	pos_ran	RT	Reaction
zhuping-f	1.000000	8.000000	19.000000	2.000000	891.664	0.000000
zhuping-f	2.000000	6.000000	20.000000	2.000000	1109.367	1.000000
zhuping-f	3.000000	14.000000	19.000000	2.000000	1855.077	0.000000
zhuping-f	4.000000	2.000000	15.000000	1.000000	699.525	1.000000
zhuping-f	5.000000	3.000000	6.000000	2.000000	1397.016	0.000000
zhuping-f	6.000000	2.000000	5.000000	2.000000	1616.755	0.000000
zhuping-f	7.000000	14.000000	20.000000	2.000000	1424.440	1.000000
zhuping-f	8.000000	2.000000	17.000000	1.000000	1884.828	1.000000
zhuping-f	9.000000	11.000000	18.000000	2.000000	1095.310	0.000000
zhuping-f	10.000000	6.000000	13.000000	2.000000	1591.060	1.000000
zhuping-f	11.000000	14.000000	15.000000	1.000000	1709.694	0.000000
zhuping-f	12.000000	6.000000	12.000000	2.000000	2295.951	0.000000
zhuping-f	13.000000	11.000000	12.000000	2.000000	1222.442	1.000000
zhuping-f	14.000000	8.000000	15.000000	2.000000	1407.318	0.000000
zhuping-f	15.000000	19.000000	20.000000	1.000000	1285.771	0.000000
zhuping-f	16.000000	7.000000	20.000000	1.000000	1856.112	1.000000
zhuping-f	17.000000	9.000000	12.000000	2.000000	1482.601	0.000000
zhuping-f	18.000000	13.000000	16.000000	1.000000	2126.283	0.000000
zhuping-f	19.000000	2.000000	18.000000	2.000000	1061.259	0.000000
zhuping-f	20.000000	1.000000	7.000000	1.000000	3297.550	0.000000
zhuping-f	21.000000	8.000000	17.000000	2.000000	1989.016	1.000000
zhuping-f	22.000000	12.000000	18.000000	1.000000	1050.243	1.000000
zhuping-f	23.000000	4.000000	5.000000	2.000000	2167.940	0.000000
zhuping-f	24.000000	11.000000	14.000000	1.000000	1776.912	0.000000
zhuping-f	25.000000	1.000000	4.000000	1.000000	1230.774	0.000000
zhuping-f	26.000000	6.000000	17.000000	1.000000	2177.752	0.000000
zhuping-f	27.000000	13.000000	17.000000	2.000000	2923.819	1.000000
zhuping-f	28.000000	10.000000	11.000000	2.000000	1157.861	1.000000
zhuping-f	29.000000	4.000000	18.000000	1.000000	958.066	1.000000
zhuping-f	30.000000	1.000000	17.000000	1.000000	2239.660	0.000000
zhuping-f	31.000000	10.000000	15.000000	2.000000	2230.259	1.000000
zhuping-f	32.000000	9.000000	20.000000	2.000000	1428.863	0.000000
zhuping-f	33.000000	4.000000	19.000000	1.000000	1194.012	1.000000
zhuping-f	34.000000	8.000000	11.000000	2.000000	1674.883	1.000000
zhuping-f	35.000000	1.000000	12.000000	1.000000	1727.097	1.000000
zhuping-f	36.000000	7.000000	9.000000	1.000000	2489.159	1.000000
zhuping-f	37.000000	3.000000	20.000000	2.000000	2444.624	1.000000
zhuping-f	38.000000	7.000000	13.000000	1.000000	2870.356	1.000000
zhuping-f	39.000000	15.000000	16.000000	1.000000	1622.455	1.000000
zhuping-f	40.000000	2.000000	13.000000	1.000000	3475.698	1.000000
zhuping-f	41.000000	9.000000	18.000000	1.000000	735.670	1.000000
zhuping-f	42.000000	17.000000	19.000000	1.000000	1801.383	1.000000
zhuping-f	43.000000	11.000000	15.000000	1.000000	1953.789	0.000000
zhuping-f	44.000000	3.000000	11.000000	2.000000	2471.351	0.000000
zhuping-f	45.000000	16.000000	20.000000	2.000000	2114.147	1.000000
zhuping-f	46.000000	5.000000	12.000000	1.000000	1359.953	0.000000
zhuping-f	47.000000	4.000000	10.000000	2.000000	908.507	0.000000
zhuping-f	48.000000	8.000000	9.000000	2.000000	1370.290	1.000000
zhuping-f	49.000000	14.000000	16.000000	1.000000	2722.670	1.000000
zhuping-f	50.000000	11.000000	13.000000	2.000000	1129.680	0.000000
zhuping-f	51.000000	11.000000	16.000000	1.000000	939.033	1.000000
zhuping-f	52.000000	13.000000	14.000000	2.000000	2068.216	1.000000
zhuping-f	53.000000	5.000000	9.000000	2.000000	1584.787	1.000000
zhuping-f	54.000000	5.000000	13.000000	2.000000	1303.401	1.000000
zhuping-f	55.000000	5.000000	7.000000	2.000000	1129.367	1.000000
zhuping-f	56.000000	4.000000	12.000000	1.000000	766.006	1.000000
zhuping-f	57.000000	4.000000	20.000000	1.000000	1342.237	1.000000
zhuping-f	58.000000	9.000000	14.000000	2.000000	1492.651	0.000000
zhuping-f	59.000000	7.000000	15.000000	2.000000	698.660	1.000000
zhuping-f	60.000000	9.000000	19.000000	2.000000	1581.984	0.000000
zhuping-f	61.000000	3.000000	17.000000	2.000000	1469.317	0.000000
zhuping-f	62.000000	2.000000	16.000000	2.000000	1478.380	1.000000
zhuping-f	63.000000	1.000000	8.000000	2.000000	2052.957	0.000000
zhuping-f	64.000000	6.000000	7.000000	1.000000	2344.779	1.000000
zhuping-f	65.000000	16.000000	18.000000	1.000000	1680.419	1.000000
