Sub	Trial	img1	img2	pos_ran	RT	Reaction
guoyang	1.000000	3.000000	5.000000	2.000000	3752.621	1.000000
guoyang	2.000000	15.000000	16.000000	1.000000	4462.771	1.000000
guoyang	3.000000	4.000000	15.000000	2.000000	2370.609	0.000000
guoyang	4.000000	9.000000	14.000000	1.000000	3856.385	0.000000
guoyang	5.000000	8.000000	18.000000	2.000000	3442.216	0.000000
guoyang	6.000000	5.000000	8.000000	2.000000	3584.383	1.000000
guoyang	7.000000	5.000000	18.000000	1.000000	2402.060	1.000000
guoyang	8.000000	18.000000	19.000000	2.000000	4672.849	1.000000
guoyang	9.000000	5.000000	11.000000	2.000000	4346.483	1.000000
guoyang	10.000000	7.000000	16.000000	2.000000	6831.482	0.000000
guoyang	11.000000	14.000000	19.000000	2.000000	5736.046	0.000000
guoyang	12.000000	9.000000	20.000000	2.000000	6209.426	1.000000
guoyang	13.000000	2.000000	13.000000	2.000000	5226.044	1.000000
guoyang	14.000000	11.000000	19.000000	1.000000	6443.356	1.000000
guoyang	15.000000	17.000000	19.000000	1.000000	6163.935	0.000000
guoyang	16.000000	7.000000	20.000000	2.000000	5101.908	1.000000
guoyang	17.000000	14.000000	17.000000	2.000000	3362.020	0.000000
guoyang	18.000000	7.000000	10.000000	2.000000	15676.903	0.000000
guoyang	19.000000	4.000000	5.000000	1.000000	10544.809	1.000000
guoyang	20.000000	2.000000	5.000000	1.000000	7943.663	0.000000
guoyang	21.000000	15.000000	19.000000	2.000000	4840.514	1.000000
guoyang	22.000000	11.000000	16.000000	2.000000	6047.808	0.000000
guoyang	23.000000	16.000000	18.000000	1.000000	8303.834	0.000000
guoyang	24.000000	12.000000	20.000000	1.000000	4722.512	0.000000
guoyang	25.000000	7.000000	11.000000	2.000000	3605.769	0.000000
guoyang	26.000000	2.000000	6.000000	2.000000	2164.716	1.000000
guoyang	27.000000	10.000000	15.000000	1.000000	8077.308	1.000000
guoyang	28.000000	4.000000	16.000000	2.000000	2397.380	0.000000
guoyang	29.000000	5.000000	14.000000	1.000000	2604.376	0.000000
guoyang	30.000000	6.000000	12.000000	2.000000	2161.210	0.000000
guoyang	31.000000	8.000000	17.000000	2.000000	3620.415	0.000000
guoyang	32.000000	13.000000	20.000000	2.000000	16615.078	1.000000
guoyang	33.000000	2.000000	7.000000	2.000000	2957.168	1.000000
guoyang	34.000000	7.000000	12.000000	1.000000	3563.140	1.000000
guoyang	35.000000	5.000000	16.000000	1.000000	7572.525	1.000000
guoyang	36.000000	2.000000	12.000000	2.000000	6924.553	1.000000
guoyang	37.000000	1.000000	15.000000	2.000000	1813.538	1.000000
guoyang	38.000000	7.000000	13.000000	2.000000	3828.251	0.000000
guoyang	39.000000	1.000000	9.000000	2.000000	10275.616	1.000000
guoyang	40.000000	12.000000	14.000000	2.000000	2163.281	1.000000
guoyang	41.000000	10.000000	11.000000	1.000000	4614.980	1.000000
guoyang	42.000000	8.000000	15.000000	1.000000	4344.962	1.000000
guoyang	43.000000	11.000000	17.000000	2.000000	4625.975	1.000000
guoyang	44.000000	13.000000	17.000000	1.000000	2274.239	1.000000
guoyang	45.000000	5.000000	17.000000	1.000000	2285.555	1.000000
guoyang	46.000000	2.000000	10.000000	1.000000	1546.084	0.000000
guoyang	47.000000	5.000000	13.000000	1.000000	1484.437	0.000000
guoyang	48.000000	15.000000	18.000000	2.000000	2261.234	0.000000
guoyang	49.000000	1.000000	16.000000	2.000000	2551.840	1.000000
guoyang	50.000000	5.000000	15.000000	2.000000	1728.466	1.000000
guoyang	51.000000	7.000000	8.000000	2.000000	2079.579	1.000000
guoyang	52.000000	6.000000	17.000000	1.000000	1671.595	1.000000
guoyang	53.000000	12.000000	15.000000	1.000000	1383.831	0.000000
guoyang	54.000000	4.000000	20.000000	2.000000	1912.749	0.000000
guoyang	55.000000	14.000000	15.000000	1.000000	2588.162	1.000000
guoyang	56.000000	3.000000	12.000000	2.000000	3950.233	0.000000
guoyang	57.000000	14.000000	18.000000	1.000000	3112.126	1.000000
guoyang	58.000000	3.000000	19.000000	2.000000	1494.449	1.000000
guoyang	59.000000	6.000000	16.000000	1.000000	2670.365	1.000000
guoyang	60.000000	5.000000	20.000000	1.000000	3572.839	1.000000
guoyang	61.000000	10.000000	20.000000	1.000000	3968.253	1.000000
guoyang	62.000000	9.000000	10.000000	1.000000	9219.832	0.000000
guoyang	63.000000	17.000000	18.000000	2.000000	7862.038	0.000000
guoyang	64.000000	17.000000	20.000000	1.000000	4578.351	0.000000
guoyang	65.000000	13.000000	19.000000	2.000000	3820.420	1.000000
guoyang	66.000000	8.000000	20.000000	2.000000	3827.858	0.000000
guoyang	67.000000	15.000000	20.000000	2.000000	1956.126	1.000000
guoyang	68.000000	2.000000	3.000000	2.000000	6763.345	1.000000
guoyang	69.000000	1.000000	4.000000	2.000000	5303.355	1.000000
guoyang	70.000000	10.000000	13.000000	1.000000	2089.529	0.000000
guoyang	71.000000	16.000000	20.000000	2.000000	2245.900	1.000000
guoyang	72.000000	9.000000	11.000000	1.000000	2362.072	0.000000
guoyang	73.000000	12.000000	13.000000	1.000000	2305.356	0.000000
