Sub	Trial	img1	img2	pos_ran	RT	Reaction
heyuqin	1.000000	3.000000	20.000000	1.000000	1708.055	0.000000
heyuqin	2.000000	1.000000	12.000000	2.000000	1393.306	1.000000
heyuqin	3.000000	5.000000	12.000000	1.000000	1643.202	1.000000
heyuqin	4.000000	8.000000	11.000000	2.000000	888.075	0.000000
heyuqin	5.000000	5.000000	18.000000	1.000000	924.930	1.000000
heyuqin	6.000000	1.000000	7.000000	1.000000	2062.910	1.000000
heyuqin	7.000000	2.000000	15.000000	1.000000	1532.691	0.000000
heyuqin	8.000000	3.000000	7.000000	1.000000	1285.757	1.000000
heyuqin	9.000000	6.000000	8.000000	2.000000	1721.962	1.000000
heyuqin	10.000000	6.000000	18.000000	2.000000	1002.943	0.000000
heyuqin	11.000000	11.000000	16.000000	2.000000	1226.693	1.000000
heyuqin	12.000000	15.000000	16.000000	1.000000	929.285	1.000000
heyuqin	13.000000	8.000000	17.000000	1.000000	689.627	1.000000
heyuqin	14.000000	1.000000	4.000000	1.000000	667.222	0.000000
heyuqin	15.000000	14.000000	17.000000	2.000000	827.078	0.000000
heyuqin	16.000000	11.000000	13.000000	2.000000	648.965	1.000000
heyuqin	17.000000	10.000000	11.000000	2.000000	660.698	0.000000
heyuqin	18.000000	8.000000	9.000000	1.000000	851.636	1.000000
heyuqin	19.000000	4.000000	20.000000	2.000000	735.685	0.000000
heyuqin	20.000000	12.000000	19.000000	1.000000	706.256	0.000000
heyuqin	21.000000	12.000000	18.000000	1.000000	565.079	1.000000
heyuqin	22.000000	6.000000	17.000000	2.000000	645.369	0.000000
heyuqin	23.000000	4.000000	17.000000	1.000000	673.964	1.000000
heyuqin	24.000000	7.000000	19.000000	1.000000	557.964	0.000000
heyuqin	25.000000	17.000000	20.000000	1.000000	807.581	0.000000
heyuqin	26.000000	5.000000	6.000000	2.000000	3014.633	0.000000
heyuqin	27.000000	7.000000	16.000000	2.000000	675.496	1.000000
heyuqin	28.000000	3.000000	12.000000	1.000000	1508.157	1.000000
heyuqin	29.000000	19.000000	20.000000	2.000000	912.544	0.000000
heyuqin	30.000000	9.000000	20.000000	1.000000	853.695	0.000000
heyuqin	31.000000	1.000000	6.000000	2.000000	602.084	1.000000
heyuqin	32.000000	3.000000	17.000000	2.000000	727.318	0.000000
heyuqin	33.000000	2.000000	18.000000	1.000000	945.983	1.000000
heyuqin	34.000000	7.000000	10.000000	2.000000	581.704	1.000000
heyuqin	35.000000	2.000000	20.000000	2.000000	2042.178	1.000000
heyuqin	36.000000	3.000000	19.000000	1.000000	762.229	0.000000
heyuqin	37.000000	15.000000	20.000000	2.000000	1129.598	1.000000
heyuqin	38.000000	7.000000	11.000000	2.000000	883.308	1.000000
heyuqin	39.000000	5.000000	7.000000	2.000000	1375.121	0.000000
heyuqin	40.000000	17.000000	18.000000	1.000000	825.886	0.000000
heyuqin	41.000000	1.000000	17.000000	1.000000	730.530	1.000000
heyuqin	42.000000	8.000000	20.000000	2.000000	1159.359	0.000000
heyuqin	43.000000	1.000000	19.000000	1.000000	814.665	0.000000
heyuqin	44.000000	10.000000	17.000000	2.000000	625.466	0.000000
heyuqin	45.000000	8.000000	14.000000	1.000000	680.137	1.000000
heyuqin	46.000000	9.000000	16.000000	1.000000	843.556	0.000000
heyuqin	47.000000	3.000000	10.000000	2.000000	606.747	1.000000
heyuqin	48.000000	3.000000	11.000000	2.000000	1183.465	1.000000
heyuqin	49.000000	10.000000	12.000000	1.000000	613.739	1.000000
heyuqin	50.000000	14.000000	16.000000	2.000000	1157.757	1.000000
heyuqin	51.000000	5.000000	11.000000	1.000000	1924.489	1.000000
heyuqin	52.000000	1.000000	3.000000	2.000000	722.192	1.000000
heyuqin	53.000000	12.000000	20.000000	1.000000	1109.401	0.000000
heyuqin	54.000000	7.000000	15.000000	2.000000	560.065	1.000000
heyuqin	55.000000	3.000000	9.000000	2.000000	783.140	0.000000
heyuqin	56.000000	9.000000	14.000000	1.000000	573.943	0.000000
heyuqin	57.000000	5.000000	14.000000	1.000000	799.491	1.000000
heyuqin	58.000000	6.000000	20.000000	1.000000	760.343	0.000000
heyuqin	59.000000	15.000000	18.000000	2.000000	589.560	1.000000
heyuqin	60.000000	4.000000	10.000000	1.000000	739.524	1.000000
heyuqin	61.000000	13.000000	18.000000	2.000000	835.788	0.000000
heyuqin	62.000000	13.000000	17.000000	1.000000	498.741	1.000000
heyuqin	63.000000	4.000000	5.000000	1.000000	689.228	1.000000
heyuqin	64.000000	12.000000	15.000000	2.000000	517.280	1.000000
heyuqin	65.000000	2.000000	6.000000	1.000000	497.721	1.000000
heyuqin	66.000000	17.000000	19.000000	1.000000	656.557	0.000000
heyuqin	67.000000	11.000000	14.000000	1.000000	847.979	1.000000
heyuqin	68.000000	3.000000	4.000000	1.000000	1066.564	0.000000
heyuqin	69.000000	2.000000	11.000000	2.000000	697.202	1.000000
heyuqin	70.000000	2.000000	19.000000	1.000000	853.658	0.000000
heyuqin	71.000000	7.000000	12.000000	2.000000	575.555	1.000000
heyuqin	72.000000	4.000000	19.000000	1.000000	1403.706	0.000000
heyuqin	73.000000	3.000000	18.000000	2.000000	771.204	1.000000
heyuqin	74.000000	1.000000	20.000000	2.000000	755.866	1.000000
heyuqin	75.000000	6.000000	15.000000	1.000000	697.538	0.000000
heyuqin	76.000000	7.000000	18.000000	2.000000	642.708	1.000000
heyuqin	77.000000	7.000000	14.000000	2.000000	558.922	1.000000
heyuqin	78.000000	5.000000	17.000000	1.000000	581.488	1.000000
heyuqin	79.000000	16.000000	18.000000	2.000000	683.150	0.000000
heyuqin	80.000000	7.000000	17.000000	1.000000	1631.264	1.000000
heyuqin	81.000000	2.000000	5.000000	1.000000	718.838	1.000000
heyuqin	82.000000	10.000000	20.000000	1.000000	945.669	0.000000
heyuqin	83.000000	3.000000	5.000000	2.000000	1291.074	1.000000
heyuqin	84.000000	1.000000	9.000000	2.000000	750.804	1.000000
heyuqin	85.000000	5.000000	9.000000	1.000000	770.052	1.000000
heyuqin	86.000000	7.000000	20.000000	1.000000	792.006	0.000000
heyuqin	87.000000	1.000000	5.000000	2.000000	679.678	1.000000
heyuqin	88.000000	4.000000	9.000000	1.000000	690.862	1.000000
heyuqin	89.000000	2.000000	13.000000	2.000000	1444.578	1.000000
heyuqin	90.000000	16.000000	17.000000	1.000000	685.583	1.000000
heyuqin	91.000000	8.000000	15.000000	1.000000	842.983	1.000000
heyuqin	92.000000	6.000000	9.000000	1.000000	864.893	0.000000
heyuqin	93.000000	12.000000	16.000000	1.000000	663.400	0.000000
heyuqin	94.000000	8.000000	18.000000	1.000000	503.126	1.000000
heyuqin	95.000000	4.000000	11.000000	1.000000	558.194	1.000000
heyuqin	96.000000	4.000000	18.000000	2.000000	524.221	0.000000
heyuqin	97.000000	9.000000	13.000000	2.000000	2598.284	0.000000
heyuqin	98.000000	11.000000	15.000000	2.000000	938.123	1.000000
heyuqin	99.000000	1.000000	2.000000	2.000000	630.598	1.000000
heyuqin	100.000000	13.000000	14.000000	1.000000	880.592	0.000000
heyuqin	101.000000	11.000000	19.000000	2.000000	536.825	1.000000
heyuqin	102.000000	5.000000	13.000000	2.000000	1103.361	0.000000
