Sub	Trial	img1	img2	pos_ran	RT	Reaction
lijiaofeng	1.000000	7.000000	14.000000	2.000000	1376.928	0.000000
lijiaofeng	2.000000	1.000000	7.000000	2.000000	1856.262	1.000000
lijiaofeng	3.000000	13.000000	17.000000	2.000000	1708.940	0.000000
lijiaofeng	4.000000	6.000000	15.000000	1.000000	1532.590	0.000000
lijiaofeng	5.000000	1.000000	8.000000	1.000000	1876.093	0.000000
lijiaofeng	6.000000	2.000000	13.000000	1.000000	1841.363	0.000000
lijiaofeng	7.000000	6.000000	20.000000	1.000000	1593.664	0.000000
lijiaofeng	8.000000	1.000000	19.000000	1.000000	1451.136	0.000000
lijiaofeng	9.000000	2.000000	14.000000	1.000000	1728.954	0.000000
lijiaofeng	10.000000	10.000000	14.000000	1.000000	2588.665	0.000000
lijiaofeng	11.000000	9.000000	13.000000	2.000000	2500.231	0.000000
lijiaofeng	12.000000	3.000000	16.000000	2.000000	2253.475	1.000000
lijiaofeng	13.000000	4.000000	8.000000	2.000000	2622.124	0.000000
lijiaofeng	14.000000	2.000000	15.000000	1.000000	2698.335	0.000000
lijiaofeng	15.000000	5.000000	7.000000	1.000000	1915.723	1.000000
lijiaofeng	16.000000	7.000000	13.000000	2.000000	3074.103	0.000000
lijiaofeng	17.000000	16.000000	18.000000	1.000000	3313.918	1.000000
lijiaofeng	18.000000	8.000000	11.000000	1.000000	2332.073	1.000000
lijiaofeng	19.000000	4.000000	18.000000	1.000000	2381.198	1.000000
lijiaofeng	20.000000	2.000000	6.000000	1.000000	3327.274	0.000000
lijiaofeng	21.000000	5.000000	9.000000	2.000000	1946.575	1.000000
lijiaofeng	22.000000	15.000000	18.000000	1.000000	1651.029	1.000000
lijiaofeng	23.000000	7.000000	19.000000	2.000000	1873.796	1.000000
lijiaofeng	24.000000	1.000000	2.000000	2.000000	2356.837	1.000000
lijiaofeng	25.000000	5.000000	20.000000	2.000000	3426.958	0.000000
lijiaofeng	26.000000	3.000000	4.000000	2.000000	1750.220	1.000000
lijiaofeng	27.000000	5.000000	10.000000	1.000000	2174.041	0.000000
lijiaofeng	28.000000	3.000000	5.000000	1.000000	2702.674	0.000000
lijiaofeng	29.000000	13.000000	16.000000	1.000000	2182.335	1.000000
lijiaofeng	30.000000	7.000000	11.000000	2.000000	1840.539	1.000000
lijiaofeng	31.000000	8.000000	9.000000	1.000000	2046.982	1.000000
lijiaofeng	32.000000	2.000000	7.000000	1.000000	1971.856	1.000000
lijiaofeng	33.000000	7.000000	12.000000	1.000000	2242.110	0.000000
lijiaofeng	34.000000	2.000000	19.000000	1.000000	1681.188	0.000000
lijiaofeng	35.000000	8.000000	10.000000	2.000000	1721.841	0.000000
lijiaofeng	36.000000	8.000000	12.000000	2.000000	2525.678	0.000000
lijiaofeng	37.000000	4.000000	16.000000	2.000000	1638.339	0.000000
lijiaofeng	38.000000	19.000000	20.000000	2.000000	1296.773	0.000000
lijiaofeng	39.000000	10.000000	20.000000	2.000000	1514.762	1.000000
lijiaofeng	40.000000	11.000000	13.000000	1.000000	2652.722	1.000000
lijiaofeng	41.000000	17.000000	18.000000	1.000000	1878.530	1.000000
lijiaofeng	42.000000	9.000000	18.000000	2.000000	2808.700	0.000000
lijiaofeng	43.000000	8.000000	13.000000	2.000000	1610.992	0.000000
lijiaofeng	44.000000	10.000000	11.000000	2.000000	2127.329	1.000000
lijiaofeng	45.000000	16.000000	20.000000	1.000000	1763.536	1.000000
lijiaofeng	46.000000	9.000000	11.000000	1.000000	3134.105	1.000000
lijiaofeng	47.000000	6.000000	8.000000	1.000000	2562.647	0.000000
lijiaofeng	48.000000	8.000000	14.000000	2.000000	2569.149	1.000000
lijiaofeng	49.000000	4.000000	10.000000	2.000000	1912.733	0.000000
lijiaofeng	50.000000	4.000000	7.000000	1.000000	1736.662	1.000000
lijiaofeng	51.000000	9.000000	12.000000	1.000000	1933.833	0.000000
lijiaofeng	52.000000	16.000000	17.000000	2.000000	1796.862	0.000000
lijiaofeng	53.000000	8.000000	17.000000	1.000000	1712.081	1.000000
lijiaofeng	54.000000	4.000000	13.000000	2.000000	1877.280	0.000000
