Sub	Trial	img1	img2	pos_ran	RT	Reaction
lishuhang	1.000000	5.000000	11.000000	1.000000	2544.987	1.000000
lishuhang	2.000000	9.000000	16.000000	1.000000	1597.225	0.000000
lishuhang	3.000000	10.000000	20.000000	2.000000	6480.905	0.000000
lishuhang	4.000000	3.000000	4.000000	1.000000	1242.765	0.000000
lishuhang	5.000000	4.000000	17.000000	2.000000	3005.818	0.000000
lishuhang	6.000000	7.000000	10.000000	2.000000	6354.714	1.000000
lishuhang	7.000000	6.000000	14.000000	1.000000	9180.038	1.000000
lishuhang	8.000000	3.000000	13.000000	2.000000	1763.250	1.000000
lishuhang	9.000000	7.000000	8.000000	1.000000	1527.420	0.000000
lishuhang	10.000000	7.000000	16.000000	2.000000	5687.961	0.000000
lishuhang	11.000000	12.000000	18.000000	1.000000	1626.850	1.000000
lishuhang	12.000000	5.000000	12.000000	2.000000	2271.535	1.000000
lishuhang	13.000000	6.000000	11.000000	1.000000	2627.625	1.000000
lishuhang	14.000000	6.000000	9.000000	1.000000	3983.060	1.000000
lishuhang	15.000000	5.000000	17.000000	1.000000	4129.523	1.000000
lishuhang	16.000000	18.000000	20.000000	1.000000	3318.073	0.000000
lishuhang	17.000000	1.000000	16.000000	2.000000	1607.357	1.000000
lishuhang	18.000000	9.000000	15.000000	1.000000	1370.576	0.000000
lishuhang	19.000000	1.000000	8.000000	2.000000	951.477	1.000000
lishuhang	20.000000	4.000000	5.000000	1.000000	1036.446	1.000000
lishuhang	21.000000	4.000000	7.000000	2.000000	1814.698	0.000000
lishuhang	22.000000	8.000000	20.000000	1.000000	10436.449	1.000000
lishuhang	23.000000	15.000000	19.000000	1.000000	1056.607	0.000000
lishuhang	24.000000	6.000000	7.000000	1.000000	4353.114	1.000000
lishuhang	25.000000	4.000000	19.000000	2.000000	2104.713	1.000000
lishuhang	26.000000	7.000000	11.000000	2.000000	2282.158	0.000000
lishuhang	27.000000	16.000000	18.000000	2.000000	1497.329	1.000000
lishuhang	28.000000	12.000000	16.000000	1.000000	18188.312	0.000000
lishuhang	29.000000	3.000000	8.000000	1.000000	1349.525	0.000000
lishuhang	30.000000	5.000000	15.000000	1.000000	2992.992	0.000000
lishuhang	31.000000	3.000000	16.000000	2.000000	4827.744	1.000000
lishuhang	32.000000	14.000000	18.000000	1.000000	5811.590	1.000000
lishuhang	33.000000	5.000000	19.000000	1.000000	2088.324	0.000000
lishuhang	34.000000	5.000000	18.000000	1.000000	3504.757	1.000000
lishuhang	35.000000	8.000000	15.000000	2.000000	1481.171	0.000000
lishuhang	36.000000	3.000000	7.000000	1.000000	731.908	0.000000
lishuhang	37.000000	3.000000	19.000000	2.000000	686.440	1.000000
lishuhang	38.000000	17.000000	19.000000	1.000000	1392.924	0.000000
lishuhang	39.000000	7.000000	19.000000	1.000000	1912.567	0.000000
lishuhang	40.000000	10.000000	11.000000	1.000000	2791.706	1.000000
lishuhang	41.000000	9.000000	18.000000	2.000000	2089.465	1.000000
lishuhang	42.000000	7.000000	9.000000	1.000000	4221.647	1.000000
lishuhang	43.000000	8.000000	19.000000	1.000000	3883.881	0.000000
lishuhang	44.000000	2.000000	5.000000	2.000000	6886.326	0.000000
lishuhang	45.000000	2.000000	17.000000	2.000000	6452.167	1.000000
lishuhang	46.000000	2.000000	9.000000	1.000000	4480.889	1.000000
lishuhang	47.000000	5.000000	20.000000	1.000000	2392.618	0.000000
lishuhang	48.000000	6.000000	15.000000	2.000000	2343.057	0.000000
lishuhang	49.000000	1.000000	14.000000	1.000000	888.393	0.000000
lishuhang	50.000000	6.000000	8.000000	2.000000	16416.279	1.000000
lishuhang	51.000000	3.000000	14.000000	1.000000	910.080	0.000000
lishuhang	52.000000	4.000000	14.000000	2.000000	18503.652	1.000000
lishuhang	53.000000	3.000000	5.000000	1.000000	2016.374	0.000000
lishuhang	54.000000	2.000000	11.000000	2.000000	3751.344	0.000000
lishuhang	55.000000	5.000000	8.000000	2.000000	693.726	1.000000
lishuhang	56.000000	9.000000	11.000000	2.000000	696.105	0.000000
lishuhang	57.000000	4.000000	9.000000	1.000000	583.772	1.000000
lishuhang	58.000000	11.000000	15.000000	1.000000	1459.610	0.000000
lishuhang	59.000000	11.000000	19.000000	2.000000	2653.581	1.000000
lishuhang	60.000000	14.000000	16.000000	1.000000	3119.864	1.000000
lishuhang	61.000000	1.000000	9.000000	1.000000	19786.351	1.000000
lishuhang	62.000000	1.000000	20.000000	2.000000	896.562	1.000000
lishuhang	63.000000	6.000000	13.000000	1.000000	1272.098	1.000000
lishuhang	64.000000	5.000000	16.000000	1.000000	3886.142	1.000000
lishuhang	65.000000	12.000000	19.000000	1.000000	657.755	0.000000
lishuhang	66.000000	19.000000	20.000000	1.000000	825.147	1.000000
lishuhang	67.000000	2.000000	13.000000	1.000000	1964.071	0.000000
lishuhang	68.000000	13.000000	18.000000	1.000000	673.252	1.000000
lishuhang	69.000000	1.000000	3.000000	2.000000	853.320	0.000000
lishuhang	70.000000	8.000000	12.000000	2.000000	606.907	0.000000
lishuhang	71.000000	11.000000	12.000000	1.000000	1285.121	1.000000
lishuhang	72.000000	4.000000	15.000000	2.000000	521.707	0.000000
lishuhang	73.000000	16.000000	17.000000	2.000000	1151.331	0.000000
lishuhang	74.000000	3.000000	15.000000	1.000000	801.255	0.000000
lishuhang	75.000000	14.000000	17.000000	2.000000	565.438	0.000000
lishuhang	76.000000	8.000000	13.000000	2.000000	856.761	0.000000
lishuhang	77.000000	9.000000	10.000000	1.000000	603.542	0.000000
lishuhang	78.000000	13.000000	16.000000	1.000000	1076.642	1.000000
lishuhang	79.000000	1.000000	6.000000	2.000000	966.029	1.000000
lishuhang	80.000000	4.000000	12.000000	1.000000	1005.514	1.000000
lishuhang	81.000000	2.000000	14.000000	2.000000	1060.864	1.000000
lishuhang	82.000000	1.000000	2.000000	1.000000	788.990	0.000000
lishuhang	83.000000	4.000000	11.000000	1.000000	473.280	1.000000
lishuhang	84.000000	8.000000	17.000000	2.000000	527.725	0.000000
lishuhang	85.000000	11.000000	14.000000	2.000000	622.578	1.000000
lishuhang	86.000000	7.000000	20.000000	1.000000	750.358	0.000000
lishuhang	87.000000	6.000000	18.000000	1.000000	1012.514	1.000000
lishuhang	88.000000	10.000000	17.000000	1.000000	571.059	1.000000
lishuhang	89.000000	2.000000	8.000000	2.000000	682.305	1.000000
lishuhang	90.000000	2.000000	6.000000	1.000000	559.255	0.000000
lishuhang	91.000000	15.000000	17.000000	1.000000	824.596	1.000000
lishuhang	92.000000	9.000000	17.000000	1.000000	579.129	0.000000
lishuhang	93.000000	8.000000	14.000000	1.000000	770.367	1.000000
lishuhang	94.000000	10.000000	19.000000	1.000000	508.092	0.000000
lishuhang	95.000000	7.000000	15.000000	1.000000	525.775	0.000000
lishuhang	96.000000	5.000000	6.000000	2.000000	2448.241	1.000000
lishuhang	97.000000	4.000000	8.000000	1.000000	9111.484	1.000000
lishuhang	98.000000	3.000000	11.000000	2.000000	1044.245	1.000000
lishuhang	99.000000	11.000000	20.000000	2.000000	800.876	1.000000
lishuhang	100.000000	10.000000	14.000000	2.000000	1196.773	0.000000
lishuhang	101.000000	15.000000	18.000000	1.000000	711.766	1.000000
lishuhang	102.000000	1.000000	13.000000	2.000000	897.965	1.000000
lishuhang	103.000000	2.000000	10.000000	2.000000	820.275	1.000000
lishuhang	104.000000	5.000000	9.000000	2.000000	747.068	0.000000
lishuhang	105.000000	3.000000	10.000000	1.000000	597.684	0.000000
lishuhang	106.000000	11.000000	13.000000	2.000000	632.511	1.000000
lishuhang	107.000000	1.000000	18.000000	2.000000	706.660	0.000000
lishuhang	108.000000	8.000000	18.000000	2.000000	540.408	0.000000
lishuhang	109.000000	5.000000	14.000000	1.000000	605.417	0.000000
lishuhang	110.000000	12.000000	17.000000	2.000000	729.384	0.000000
lishuhang	111.000000	3.000000	12.000000	1.000000	1225.083	0.000000
lishuhang	112.000000	3.000000	6.000000	2.000000	703.688	1.000000
lishuhang	113.000000	18.000000	19.000000	2.000000	617.155	1.000000
lishuhang	114.000000	12.000000	20.000000	2.000000	691.231	0.000000
lishuhang	115.000000	4.000000	20.000000	2.000000	546.671	0.000000
lishuhang	116.000000	12.000000	15.000000	1.000000	1006.943	0.000000
lishuhang	117.000000	9.000000	14.000000	1.000000	604.140	0.000000
lishuhang	118.000000	17.000000	20.000000	1.000000	531.525	0.000000
lishuhang	119.000000	5.000000	7.000000	1.000000	2125.161	1.000000
lishuhang	120.000000	6.000000	19.000000	1.000000	1096.678	0.000000
lishuhang	121.000000	2.000000	15.000000	2.000000	1010.078	1.000000
lishuhang	122.000000	3.000000	9.000000	2.000000	510.109	0.000000
lishuhang	123.000000	1.000000	12.000000	2.000000	787.666	1.000000
lishuhang	124.000000	3.000000	17.000000	2.000000	635.189	0.000000
lishuhang	125.000000	8.000000	10.000000	1.000000	1100.922	1.000000
lishuhang	126.000000	7.000000	12.000000	2.000000	900.451	1.000000
lishuhang	127.000000	7.000000	13.000000	1.000000	570.529	0.000000
lishuhang	128.000000	10.000000	18.000000	2.000000	493.805	0.000000
