Sub	Trial	img1	img2	pos_ran	RT	Reaction
qincyichao	1.000000	10.000000	12.000000	2.000000	776.746	0.000000
qincyichao	2.000000	6.000000	19.000000	2.000000	844.982	1.000000
qincyichao	3.000000	3.000000	14.000000	2.000000	1557.392	1.000000
qincyichao	4.000000	5.000000	20.000000	2.000000	1531.275	1.000000
qincyichao	5.000000	13.000000	16.000000	2.000000	1134.427	1.000000
qincyichao	6.000000	4.000000	15.000000	2.000000	1399.236	0.000000
qincyichao	7.000000	7.000000	15.000000	1.000000	1506.096	0.000000
qincyichao	8.000000	11.000000	13.000000	2.000000	1550.248	1.000000
qincyichao	9.000000	7.000000	13.000000	2.000000	1383.983	1.000000
qincyichao	10.000000	9.000000	14.000000	1.000000	1239.911	0.000000
qincyichao	11.000000	7.000000	16.000000	2.000000	1286.757	1.000000
qincyichao	12.000000	8.000000	19.000000	1.000000	1093.337	0.000000
qincyichao	13.000000	3.000000	11.000000	1.000000	1160.799	1.000000
qincyichao	14.000000	7.000000	18.000000	1.000000	793.628	1.000000
qincyichao	15.000000	4.000000	19.000000	1.000000	862.565	0.000000
qincyichao	16.000000	10.000000	15.000000	2.000000	841.172	0.000000
qincyichao	17.000000	5.000000	10.000000	1.000000	641.616	0.000000
qincyichao	18.000000	2.000000	15.000000	2.000000	591.493	1.000000
qincyichao	19.000000	3.000000	6.000000	1.000000	1128.118	1.000000
qincyichao	20.000000	15.000000	20.000000	1.000000	704.662	1.000000
qincyichao	21.000000	12.000000	20.000000	1.000000	785.436	0.000000
qincyichao	22.000000	8.000000	20.000000	1.000000	924.093	1.000000
qincyichao	23.000000	5.000000	8.000000	1.000000	645.727	0.000000
qincyichao	24.000000	8.000000	10.000000	1.000000	636.186	1.000000
qincyichao	25.000000	14.000000	18.000000	1.000000	723.851	1.000000
qincyichao	26.000000	10.000000	14.000000	1.000000	1315.112	0.000000
qincyichao	27.000000	7.000000	8.000000	2.000000	921.438	1.000000
qincyichao	28.000000	2.000000	5.000000	2.000000	2156.241	1.000000
qincyichao	29.000000	13.000000	15.000000	1.000000	2118.386	0.000000
qincyichao	30.000000	9.000000	10.000000	1.000000	786.269	0.000000
qincyichao	31.000000	12.000000	19.000000	2.000000	735.256	1.000000
qincyichao	32.000000	6.000000	16.000000	2.000000	831.166	1.000000
qincyichao	33.000000	2.000000	11.000000	2.000000	1257.762	1.000000
qincyichao	34.000000	13.000000	20.000000	2.000000	1119.682	1.000000
qincyichao	35.000000	15.000000	17.000000	1.000000	848.263	1.000000
qincyichao	36.000000	2.000000	3.000000	1.000000	2503.468	1.000000
qincyichao	37.000000	5.000000	19.000000	2.000000	2341.834	1.000000
qincyichao	38.000000	10.000000	17.000000	1.000000	1161.974	1.000000
qincyichao	39.000000	1.000000	16.000000	2.000000	1592.545	1.000000
qincyichao	40.000000	3.000000	5.000000	1.000000	946.116	0.000000
qincyichao	41.000000	2.000000	4.000000	1.000000	1065.439	0.000000
qincyichao	42.000000	16.000000	18.000000	1.000000	610.940	1.000000
qincyichao	43.000000	2.000000	6.000000	1.000000	1145.094	0.000000
qincyichao	44.000000	1.000000	19.000000	1.000000	1457.706	0.000000
qincyichao	45.000000	4.000000	8.000000	1.000000	860.936	1.000000
qincyichao	46.000000	3.000000	19.000000	2.000000	632.371	1.000000
qincyichao	47.000000	6.000000	17.000000	1.000000	1818.443	1.000000
qincyichao	48.000000	17.000000	18.000000	1.000000	1229.014	0.000000
qincyichao	49.000000	2.000000	16.000000	1.000000	666.764	0.000000
qincyichao	50.000000	4.000000	20.000000	1.000000	467.899	1.000000
qincyichao	51.000000	2.000000	19.000000	2.000000	516.051	1.000000
qincyichao	52.000000	3.000000	12.000000	2.000000	1005.190	0.000000
qincyichao	53.000000	18.000000	19.000000	1.000000	408.654	0.000000
qincyichao	54.000000	11.000000	15.000000	2.000000	487.686	1.000000
qincyichao	55.000000	17.000000	19.000000	2.000000	531.365	1.000000
qincyichao	56.000000	9.000000	20.000000	2.000000	897.624	0.000000
qincyichao	57.000000	3.000000	7.000000	1.000000	982.653	0.000000
qincyichao	58.000000	1.000000	17.000000	2.000000	533.108	0.000000
qincyichao	59.000000	12.000000	13.000000	2.000000	1396.987	1.000000
qincyichao	60.000000	2.000000	8.000000	2.000000	606.036	1.000000
qincyichao	61.000000	3.000000	8.000000	2.000000	1156.884	1.000000
qincyichao	62.000000	5.000000	17.000000	1.000000	914.546	1.000000
qincyichao	63.000000	5.000000	6.000000	1.000000	786.907	1.000000
qincyichao	64.000000	10.000000	19.000000	1.000000	670.445	0.000000
qincyichao	65.000000	1.000000	10.000000	1.000000	2240.102	0.000000
qincyichao	66.000000	4.000000	13.000000	2.000000	1039.307	0.000000
qincyichao	67.000000	14.000000	15.000000	2.000000	1107.621	0.000000
qincyichao	68.000000	10.000000	16.000000	1.000000	1091.881	0.000000
qincyichao	69.000000	15.000000	16.000000	1.000000	724.621	1.000000
qincyichao	70.000000	1.000000	7.000000	1.000000	496.283	0.000000
qincyichao	71.000000	16.000000	19.000000	1.000000	630.317	0.000000
qincyichao	72.000000	9.000000	11.000000	2.000000	904.616	0.000000
qincyichao	73.000000	4.000000	12.000000	2.000000	585.426	0.000000
qincyichao	74.000000	9.000000	15.000000	1.000000	874.702	0.000000
qincyichao	75.000000	2.000000	17.000000	2.000000	514.360	0.000000
qincyichao	76.000000	9.000000	17.000000	1.000000	523.536	1.000000
qincyichao	77.000000	11.000000	19.000000	2.000000	607.570	1.000000
qincyichao	78.000000	11.000000	16.000000	2.000000	653.494	1.000000
qincyichao	79.000000	3.000000	9.000000	2.000000	693.681	0.000000
qincyichao	80.000000	15.000000	18.000000	1.000000	556.321	1.000000
qincyichao	81.000000	2.000000	10.000000	1.000000	956.359	0.000000
qincyichao	82.000000	10.000000	11.000000	2.000000	2441.265	1.000000
qincyichao	83.000000	8.000000	17.000000	2.000000	674.346	0.000000
qincyichao	84.000000	2.000000	7.000000	1.000000	1034.435	0.000000
qincyichao	85.000000	2.000000	14.000000	2.000000	733.551	1.000000
qincyichao	86.000000	8.000000	16.000000	1.000000	701.546	1.000000
qincyichao	87.000000	3.000000	20.000000	2.000000	867.344	1.000000
qincyichao	88.000000	14.000000	16.000000	2.000000	1374.955	0.000000
qincyichao	89.000000	1.000000	18.000000	2.000000	1056.425	0.000000
qincyichao	90.000000	7.000000	12.000000	2.000000	698.930	0.000000
qincyichao	91.000000	6.000000	9.000000	2.000000	1641.113	0.000000
qincyichao	92.000000	15.000000	19.000000	2.000000	565.692	1.000000
qincyichao	93.000000	3.000000	17.000000	1.000000	791.459	1.000000
qincyichao	94.000000	4.000000	9.000000	1.000000	550.119	1.000000
qincyichao	95.000000	10.000000	18.000000	1.000000	804.564	1.000000
qincyichao	96.000000	6.000000	20.000000	2.000000	631.731	1.000000
qincyichao	97.000000	5.000000	12.000000	1.000000	915.849	0.000000
qincyichao	98.000000	6.000000	8.000000	1.000000	606.310	0.000000
qincyichao	99.000000	7.000000	11.000000	2.000000	683.380	1.000000
qincyichao	100.000000	3.000000	10.000000	1.000000	644.099	0.000000
qincyichao	101.000000	1.000000	2.000000	1.000000	1056.387	1.000000
qincyichao	102.000000	1.000000	3.000000	2.000000	800.050	0.000000
qincyichao	103.000000	8.000000	12.000000	2.000000	1039.093	0.000000
qincyichao	104.000000	4.000000	7.000000	1.000000	758.436	1.000000
qincyichao	105.000000	7.000000	17.000000	2.000000	1325.114	0.000000
qincyichao	106.000000	9.000000	16.000000	1.000000	1013.922	0.000000
qincyichao	107.000000	1.000000	9.000000	2.000000	630.024	1.000000
qincyichao	108.000000	12.000000	16.000000	2.000000	855.392	1.000000
qincyichao	109.000000	4.000000	6.000000	2.000000	601.107	0.000000
qincyichao	110.000000	11.000000	17.000000	1.000000	759.475	1.000000
qincyichao	111.000000	1.000000	13.000000	1.000000	674.929	0.000000
qincyichao	112.000000	13.000000	17.000000	1.000000	616.254	1.000000
qincyichao	113.000000	6.000000	15.000000	1.000000	754.814	0.000000
qincyichao	114.000000	3.000000	18.000000	2.000000	827.267	0.000000
qincyichao	115.000000	16.000000	20.000000	2.000000	973.887	0.000000
qincyichao	116.000000	1.000000	15.000000	1.000000	591.843	0.000000
qincyichao	117.000000	16.000000	17.000000	1.000000	612.607	1.000000
qincyichao	118.000000	2.000000	18.000000	2.000000	553.857	0.000000
qincyichao	119.000000	2.000000	20.000000	1.000000	835.346	0.000000
qincyichao	120.000000	6.000000	11.000000	1.000000	718.343	0.000000
qincyichao	121.000000	17.000000	20.000000	1.000000	646.082	0.000000
qincyichao	122.000000	6.000000	12.000000	1.000000	725.246	0.000000
qincyichao	123.000000	1.000000	14.000000	2.000000	476.170	1.000000
qincyichao	124.000000	4.000000	10.000000	2.000000	725.178	0.000000
qincyichao	125.000000	9.000000	19.000000	1.000000	443.877	0.000000
qincyichao	126.000000	1.000000	6.000000	2.000000	624.958	1.000000
qincyichao	127.000000	14.000000	20.000000	2.000000	547.561	0.000000
qincyichao	128.000000	8.000000	14.000000	1.000000	1061.131	1.000000
qincyichao	129.000000	5.000000	11.000000	1.000000	614.135	1.000000
qincyichao	130.000000	9.000000	18.000000	2.000000	481.930	0.000000
qincyichao	131.000000	8.000000	11.000000	2.000000	428.977	0.000000
qincyichao	132.000000	12.000000	15.000000	1.000000	556.849	0.000000
qincyichao	133.000000	12.000000	18.000000	1.000000	826.966	0.000000
qincyichao	134.000000	13.000000	19.000000	1.000000	538.804	0.000000
qincyichao	135.000000	4.000000	11.000000	1.000000	509.410	1.000000
qincyichao	136.000000	5.000000	7.000000	2.000000	564.196	0.000000
qincyichao	137.000000	7.000000	14.000000	2.000000	908.070	1.000000
qincyichao	138.000000	12.000000	17.000000	1.000000	814.109	1.000000
qincyichao	139.000000	5.000000	18.000000	1.000000	1228.572	0.000000
qincyichao	140.000000	12.000000	14.000000	2.000000	613.392	1.000000
qincyichao	141.000000	3.000000	4.000000	1.000000	870.126	0.000000
qincyichao	142.000000	7.000000	10.000000	2.000000	879.717	1.000000
qincyichao	143.000000	5.000000	14.000000	2.000000	842.977	1.000000
qincyichao	144.000000	5.000000	9.000000	1.000000	516.082	1.000000
qincyichao	145.000000	8.000000	9.000000	1.000000	450.659	1.000000
qincyichao	146.000000	3.000000	16.000000	2.000000	541.907	1.000000
qincyichao	147.000000	11.000000	14.000000	2.000000	963.356	1.000000
qincyichao	148.000000	6.000000	7.000000	2.000000	986.744	0.000000
qincyichao	149.000000	5.000000	13.000000	1.000000	525.876	1.000000
qincyichao	150.000000	1.000000	5.000000	2.000000	952.363	1.000000
qincyichao	151.000000	4.000000	18.000000	2.000000	896.479	0.000000
qincyichao	152.000000	8.000000	15.000000	1.000000	562.335	1.000000
qincyichao	153.000000	3.000000	13.000000	2.000000	697.563	1.000000
qincyichao	154.000000	9.000000	13.000000	2.000000	880.931	0.000000
