Sub	Trial	img1	img2	pos_ran	RT	Reaction
tes	1.000000	1.000000	10.000000	2.000000	1133.650	1.000000
tes	2.000000	14.000000	17.000000	2.000000	29.416	1.000000
tes	3.000000	11.000000	12.000000	2.000000	 0.454	1.000000
tes	4.000000	2.000000	18.000000	1.000000	 3.452	1.000000
tes	5.000000	6.000000	20.000000	1.000000	 4.418	1.000000
tes	6.000000	6.000000	13.000000	2.000000	 0.359	1.000000
tes	7.000000	3.000000	9.000000	2.000000	 0.753	1.000000
tes	8.000000	3.000000	19.000000	1.000000	 0.613	1.000000
tes	9.000000	12.000000	16.000000	1.000000	 0.507	1.000000
tes	10.000000	14.000000	18.000000	2.000000	 0.605	1.000000
tes	11.000000	3.000000	12.000000	2.000000	 0.624	1.000000
tes	12.000000	5.000000	13.000000	1.000000	93.513	1.000000
tes	13.000000	10.000000	19.000000	2.000000	 0.502	1.000000
tes	14.000000	7.000000	13.000000	1.000000	84.544	1.000000
tes	15.000000	8.000000	19.000000	2.000000	 0.818	1.000000
tes	16.000000	16.000000	20.000000	2.000000	102.538	1.000000
tes	17.000000	12.000000	14.000000	2.000000	 0.391	1.000000
tes	18.000000	5.000000	17.000000	2.000000	 1.173	1.000000
tes	19.000000	10.000000	17.000000	1.000000	 0.465	1.000000
tes	20.000000	13.000000	14.000000	1.000000	 0.558	1.000000
tes	21.000000	5.000000	7.000000	2.000000	 0.322	1.000000
tes	22.000000	2.000000	8.000000	2.000000	 1.198	1.000000
tes	23.000000	12.000000	20.000000	2.000000	 0.649	1.000000
tes	24.000000	11.000000	15.000000	2.000000	 0.423	1.000000
tes	25.000000	8.000000	16.000000	2.000000	 0.745	1.000000
tes	26.000000	11.000000	18.000000	1.000000	 1.040	1.000000
tes	27.000000	9.000000	17.000000	1.000000	 0.453	1.000000
tes	28.000000	18.000000	20.000000	2.000000	 0.413	1.000000
tes	29.000000	5.000000	8.000000	1.000000	 0.857	1.000000
tes	30.000000	13.000000	18.000000	1.000000	 0.792	1.000000
tes	31.000000	7.000000	18.000000	1.000000	 0.532	1.000000
tes	32.000000	2.000000	19.000000	1.000000	 1.317	1.000000
tes	33.000000	3.000000	15.000000	2.000000	 0.694	1.000000
tes	34.000000	4.000000	11.000000	2.000000	 0.895	1.000000
tes	35.000000	19.000000	20.000000	2.000000	 1.336	1.000000
tes	36.000000	6.000000	12.000000	2.000000	 0.483	1.000000
tes	37.000000	10.000000	14.000000	1.000000	 0.472	1.000000
tes	38.000000	5.000000	9.000000	1.000000	 0.439	1.000000
tes	39.000000	3.000000	17.000000	2.000000	 0.429	1.000000
tes	40.000000	5.000000	10.000000	1.000000	 0.325	1.000000
tes	41.000000	9.000000	11.000000	2.000000	89.771	1.000000
tes	42.000000	7.000000	14.000000	1.000000	 0.510	1.000000
tes	43.000000	6.000000	10.000000	2.000000	 0.422	1.000000
tes	44.000000	8.000000	17.000000	1.000000	 0.346	1.000000
