Sub	Trial	img1	img2	pos_ran	RT	Reaction
wangzhuo	1.000000	6.000000	17.000000	1.000000	2179.467	1.000000
wangzhuo	2.000000	12.000000	14.000000	1.000000	5013.030	0.000000
wangzhuo	3.000000	16.000000	20.000000	1.000000	2377.666	0.000000
wangzhuo	4.000000	5.000000	19.000000	1.000000	1280.730	0.000000
wangzhuo	5.000000	2.000000	3.000000	1.000000	5066.691	0.000000
wangzhuo	6.000000	6.000000	10.000000	2.000000	3148.525	1.000000
wangzhuo	7.000000	1.000000	9.000000	2.000000	3804.083	1.000000
wangzhuo	8.000000	2.000000	4.000000	2.000000	2160.489	1.000000
wangzhuo	9.000000	9.000000	14.000000	1.000000	1448.157	0.000000
wangzhuo	10.000000	8.000000	14.000000	1.000000	4434.287	1.000000
wangzhuo	11.000000	3.000000	6.000000	2.000000	1559.986	1.000000
wangzhuo	12.000000	3.000000	14.000000	1.000000	1344.846	0.000000
wangzhuo	13.000000	2.000000	5.000000	1.000000	5527.599	1.000000
wangzhuo	14.000000	4.000000	12.000000	1.000000	1512.165	1.000000
wangzhuo	15.000000	6.000000	16.000000	1.000000	3920.241	1.000000
wangzhuo	16.000000	14.000000	17.000000	2.000000	1176.731	0.000000
wangzhuo	17.000000	7.000000	13.000000	1.000000	3357.460	0.000000
wangzhuo	18.000000	4.000000	8.000000	2.000000	3541.241	1.000000
wangzhuo	19.000000	1.000000	14.000000	2.000000	5172.763	1.000000
wangzhuo	20.000000	4.000000	14.000000	2.000000	2146.702	1.000000
wangzhuo	21.000000	13.000000	19.000000	2.000000	2201.691	1.000000
wangzhuo	22.000000	7.000000	9.000000	1.000000	1966.561	0.000000
wangzhuo	23.000000	5.000000	10.000000	1.000000	4364.036	0.000000
wangzhuo	24.000000	2.000000	11.000000	1.000000	3099.707	0.000000
wangzhuo	25.000000	4.000000	15.000000	2.000000	1484.868	0.000000
wangzhuo	26.000000	2.000000	12.000000	1.000000	3319.657	0.000000
wangzhuo	27.000000	17.000000	20.000000	1.000000	3423.837	0.000000
wangzhuo	28.000000	12.000000	13.000000	1.000000	1316.277	0.000000
wangzhuo	29.000000	6.000000	14.000000	1.000000	1291.772	1.000000
wangzhuo	30.000000	7.000000	11.000000	2.000000	1604.544	0.000000
wangzhuo	31.000000	1.000000	15.000000	2.000000	2193.335	1.000000
wangzhuo	32.000000	6.000000	15.000000	2.000000	4103.268	0.000000
wangzhuo	33.000000	2.000000	9.000000	2.000000	2448.751	1.000000
wangzhuo	34.000000	7.000000	12.000000	2.000000	6500.218	0.000000
wangzhuo	35.000000	7.000000	14.000000	1.000000	2884.802	0.000000
wangzhuo	36.000000	4.000000	6.000000	1.000000	3360.486	0.000000
wangzhuo	37.000000	15.000000	20.000000	2.000000	2718.087	1.000000
wangzhuo	38.000000	9.000000	20.000000	2.000000	2365.145	1.000000
wangzhuo	39.000000	10.000000	12.000000	2.000000	1788.014	0.000000
wangzhuo	40.000000	14.000000	20.000000	1.000000	2062.250	1.000000
