Sub	Trial	img1	img2	pos_ran	RT	Reaction
wuhuangsai	1.000000	14.000000	16.000000	2.000000	 0.000	-1.000000
wuhuangsai	2.000000	13.000000	20.000000	1.000000	24288.223	1.000000
wuhuangsai	3.000000	8.000000	13.000000	2.000000	16437.682	1.000000
wuhuangsai	4.000000	2.000000	10.000000	2.000000	21913.136	1.000000
wuhuangsai	5.000000	6.000000	13.000000	2.000000	24427.749	0.000000
wuhuangsai	6.000000	1.000000	2.000000	1.000000	20608.698	1.000000
wuhuangsai	7.000000	7.000000	13.000000	2.000000	 0.000	-1.000000
wuhuangsai	8.000000	18.000000	19.000000	1.000000	14891.022	0.000000
wuhuangsai	9.000000	6.000000	10.000000	2.000000	9707.869	0.000000
wuhuangsai	10.000000	7.000000	10.000000	2.000000	15707.873	0.000000
wuhuangsai	11.000000	7.000000	11.000000	2.000000	17068.737	0.000000
wuhuangsai	12.000000	2.000000	5.000000	2.000000	23071.527	1.000000
wuhuangsai	13.000000	3.000000	9.000000	1.000000	4875.521	0.000000
wuhuangsai	14.000000	17.000000	18.000000	1.000000	11218.505	0.000000
wuhuangsai	15.000000	3.000000	7.000000	1.000000	 0.000	-1.000000
wuhuangsai	16.000000	13.000000	18.000000	1.000000	7689.112	1.000000
wuhuangsai	17.000000	6.000000	15.000000	1.000000	9856.409	1.000000
wuhuangsai	18.000000	9.000000	13.000000	2.000000	20185.801	0.000000
wuhuangsai	19.000000	2.000000	6.000000	2.000000	9201.329	1.000000
wuhuangsai	20.000000	12.000000	15.000000	2.000000	17764.598	1.000000
wuhuangsai	21.000000	2.000000	12.000000	2.000000	8107.110	1.000000
wuhuangsai	22.000000	7.000000	19.000000	1.000000	8922.026	0.000000
wuhuangsai	23.000000	8.000000	20.000000	2.000000	12008.715	0.000000
wuhuangsai	24.000000	8.000000	9.000000	1.000000	10051.852	0.000000
wuhuangsai	25.000000	5.000000	20.000000	2.000000	15412.776	1.000000
wuhuangsai	26.000000	11.000000	13.000000	2.000000	17942.767	1.000000
wuhuangsai	27.000000	1.000000	6.000000	1.000000	6284.855	0.000000
wuhuangsai	28.000000	12.000000	20.000000	2.000000	20522.344	1.000000
wuhuangsai	29.000000	6.000000	20.000000	2.000000	4169.406	0.000000
wuhuangsai	30.000000	2.000000	4.000000	1.000000	17771.399	1.000000
wuhuangsai	31.000000	15.000000	16.000000	2.000000	10496.650	0.000000
wuhuangsai	32.000000	12.000000	13.000000	1.000000	14404.241	0.000000
wuhuangsai	33.000000	14.000000	18.000000	2.000000	11534.931	0.000000
wuhuangsai	34.000000	8.000000	11.000000	2.000000	15980.005	0.000000
wuhuangsai	35.000000	2.000000	13.000000	1.000000	20151.971	0.000000
wuhuangsai	36.000000	7.000000	12.000000	1.000000	9525.485	0.000000
wuhuangsai	37.000000	4.000000	19.000000	2.000000	5435.874	0.000000
wuhuangsai	38.000000	2.000000	7.000000	1.000000	5341.705	0.000000
wuhuangsai	39.000000	9.000000	16.000000	1.000000	4642.926	1.000000
wuhuangsai	40.000000	17.000000	20.000000	1.000000	3214.087	0.000000
wuhuangsai	41.000000	14.000000	20.000000	1.000000	5542.794	0.000000
wuhuangsai	42.000000	14.000000	17.000000	2.000000	1848.106	0.000000
wuhuangsai	43.000000	3.000000	17.000000	2.000000	12189.218	0.000000
wuhuangsai	44.000000	4.000000	9.000000	2.000000	8003.937	1.000000
wuhuangsai	45.000000	6.000000	18.000000	1.000000	11619.216	1.000000
wuhuangsai	46.000000	14.000000	15.000000	1.000000	29689.210	0.000000
wuhuangsai	47.000000	15.000000	20.000000	2.000000	11719.145	1.000000
wuhuangsai	48.000000	6.000000	11.000000	1.000000	1896.407	1.000000
wuhuangsai	49.000000	10.000000	18.000000	2.000000	3830.010	1.000000
wuhuangsai	50.000000	13.000000	16.000000	2.000000	5370.329	0.000000
wuhuangsai	51.000000	1.000000	9.000000	2.000000	3532.130	1.000000
wuhuangsai	52.000000	12.000000	17.000000	1.000000	2308.671	1.000000
wuhuangsai	53.000000	3.000000	18.000000	1.000000	22084.278	0.000000
wuhuangsai	54.000000	12.000000	14.000000	1.000000	9210.700	0.000000
wuhuangsai	55.000000	16.000000	20.000000	2.000000	2285.103	1.000000
wuhuangsai	56.000000	14.000000	19.000000	1.000000	4292.033	0.000000
wuhuangsai	57.000000	8.000000	19.000000	1.000000	10947.607	0.000000
wuhuangsai	58.000000	12.000000	18.000000	2.000000	6913.949	0.000000
wuhuangsai	59.000000	11.000000	15.000000	1.000000	11961.257	0.000000
wuhuangsai	60.000000	2.000000	9.000000	2.000000	4190.639	1.000000
wuhuangsai	61.000000	2.000000	8.000000	1.000000	3770.262	0.000000
wuhuangsai	62.000000	1.000000	8.000000	1.000000	5340.707	0.000000
wuhuangsai	63.000000	3.000000	4.000000	2.000000	6281.161	1.000000
wuhuangsai	64.000000	1.000000	10.000000	2.000000	7951.725	0.000000
wuhuangsai	65.000000	4.000000	16.000000	1.000000	1233.999	1.000000
wuhuangsai	66.000000	5.000000	10.000000	2.000000	8750.054	1.000000
wuhuangsai	67.000000	11.000000	20.000000	2.000000	8819.419	0.000000
wuhuangsai	68.000000	10.000000	17.000000	1.000000	13166.886	1.000000
wuhuangsai	69.000000	1.000000	11.000000	1.000000	14804.107	0.000000
wuhuangsai	70.000000	16.000000	18.000000	1.000000	 0.000	-1.000000
wuhuangsai	71.000000	5.000000	12.000000	2.000000	14635.677	0.000000
wuhuangsai	72.000000	6.000000	7.000000	2.000000	4144.637	0.000000
wuhuangsai	73.000000	11.000000	19.000000	1.000000	1761.045	0.000000
wuhuangsai	74.000000	13.000000	19.000000	2.000000	9193.603	1.000000
wuhuangsai	75.000000	3.000000	12.000000	1.000000	6391.257	0.000000
wuhuangsai	76.000000	1.000000	14.000000	2.000000	3445.935	1.000000
wuhuangsai	77.000000	1.000000	15.000000	1.000000	1545.801	0.000000
wuhuangsai	78.000000	1.000000	20.000000	1.000000	1361.862	0.000000
wuhuangsai	79.000000	11.000000	16.000000	2.000000	4303.331	0.000000
wuhuangsai	80.000000	11.000000	18.000000	1.000000	4704.403	1.000000
wuhuangsai	81.000000	11.000000	12.000000	2.000000	3321.788	0.000000
wuhuangsai	82.000000	12.000000	19.000000	2.000000	1434.686	1.000000
wuhuangsai	83.000000	5.000000	7.000000	2.000000	3159.554	1.000000
wuhuangsai	84.000000	4.000000	11.000000	2.000000	3928.627	1.000000
wuhuangsai	85.000000	12.000000	16.000000	2.000000	5074.209	0.000000
wuhuangsai	86.000000	3.000000	5.000000	2.000000	1244.162	1.000000
wuhuangsai	87.000000	5.000000	15.000000	2.000000	2736.186	1.000000
wuhuangsai	88.000000	19.000000	20.000000	2.000000	9015.025	1.000000
wuhuangsai	89.000000	7.000000	14.000000	1.000000	4408.061	1.000000
wuhuangsai	90.000000	3.000000	10.000000	1.000000	3508.419	0.000000
wuhuangsai	91.000000	17.000000	19.000000	2.000000	4866.787	1.000000
wuhuangsai	92.000000	1.000000	5.000000	1.000000	11081.745	0.000000
wuhuangsai	93.000000	1.000000	4.000000	2.000000	10903.468	1.000000
wuhuangsai	94.000000	9.000000	19.000000	1.000000	4183.366	1.000000
wuhuangsai	95.000000	11.000000	14.000000	2.000000	11402.849	0.000000
wuhuangsai	96.000000	10.000000	12.000000	1.000000	4510.168	1.000000
wuhuangsai	97.000000	4.000000	10.000000	1.000000	4124.710	0.000000
wuhuangsai	98.000000	5.000000	11.000000	1.000000	8720.971	0.000000
wuhuangsai	99.000000	6.000000	9.000000	1.000000	7701.788	0.000000
wuhuangsai	100.000000	16.000000	17.000000	2.000000	4931.956	1.000000
wuhuangsai	101.000000	3.000000	6.000000	2.000000	1562.554	1.000000
wuhuangsai	102.000000	13.000000	14.000000	2.000000	4869.908	0.000000
wuhuangsai	103.000000	6.000000	17.000000	1.000000	1302.527	1.000000
wuhuangsai	104.000000	4.000000	5.000000	1.000000	1748.628	1.000000
wuhuangsai	105.000000	8.000000	18.000000	1.000000	1112.954	1.000000
wuhuangsai	106.000000	9.000000	10.000000	2.000000	1433.669	0.000000
wuhuangsai	107.000000	1.000000	16.000000	2.000000	4698.488	0.000000
wuhuangsai	108.000000	2.000000	20.000000	2.000000	1809.598	1.000000
wuhuangsai	109.000000	9.000000	15.000000	1.000000	4916.405	1.000000
wuhuangsai	110.000000	4.000000	17.000000	2.000000	3164.352	0.000000
wuhuangsai	111.000000	8.000000	10.000000	1.000000	2181.921	1.000000
wuhuangsai	112.000000	7.000000	17.000000	1.000000	3006.877	1.000000
wuhuangsai	113.000000	16.000000	19.000000	2.000000	1266.481	1.000000
wuhuangsai	114.000000	4.000000	8.000000	1.000000	6325.244	0.000000
wuhuangsai	115.000000	10.000000	14.000000	1.000000	1659.236	0.000000
wuhuangsai	116.000000	2.000000	11.000000	1.000000	2274.171	0.000000
wuhuangsai	117.000000	1.000000	12.000000	2.000000	6090.905	1.000000
wuhuangsai	118.000000	2.000000	19.000000	2.000000	2450.853	1.000000
wuhuangsai	119.000000	10.000000	15.000000	1.000000	6204.381	0.000000
wuhuangsai	120.000000	4.000000	18.000000	2.000000	6428.320	1.000000
wuhuangsai	121.000000	8.000000	12.000000	1.000000	1996.571	1.000000
wuhuangsai	122.000000	1.000000	13.000000	2.000000	1018.139	1.000000
wuhuangsai	123.000000	4.000000	20.000000	2.000000	2423.528	1.000000
wuhuangsai	124.000000	2.000000	17.000000	1.000000	3548.366	1.000000
wuhuangsai	125.000000	6.000000	19.000000	2.000000	3131.476	1.000000
wuhuangsai	126.000000	10.000000	19.000000	2.000000	1178.498	1.000000
wuhuangsai	127.000000	9.000000	11.000000	1.000000	6305.845	0.000000
wuhuangsai	128.000000	9.000000	18.000000	2.000000	1670.019	0.000000
wuhuangsai	129.000000	6.000000	8.000000	2.000000	9157.944	0.000000
wuhuangsai	130.000000	3.000000	20.000000	2.000000	2027.666	1.000000
wuhuangsai	131.000000	15.000000	17.000000	1.000000	1686.408	1.000000
wuhuangsai	132.000000	7.000000	9.000000	1.000000	1670.657	0.000000
wuhuangsai	133.000000	4.000000	6.000000	2.000000	1541.536	1.000000
wuhuangsai	134.000000	3.000000	13.000000	1.000000	1062.379	0.000000
wuhuangsai	135.000000	7.000000	16.000000	2.000000	2021.131	0.000000
wuhuangsai	136.000000	4.000000	13.000000	1.000000	3053.300	0.000000
wuhuangsai	137.000000	2.000000	14.000000	1.000000	2572.431	0.000000
wuhuangsai	138.000000	10.000000	11.000000	2.000000	1422.606	1.000000
wuhuangsai	139.000000	1.000000	17.000000	2.000000	1562.696	1.000000
wuhuangsai	140.000000	9.000000	14.000000	1.000000	3591.566	1.000000
wuhuangsai	141.000000	6.000000	16.000000	2.000000	1323.413	0.000000
wuhuangsai	142.000000	7.000000	8.000000	1.000000	4505.360	1.000000
wuhuangsai	143.000000	1.000000	3.000000	2.000000	10643.041	0.000000
wuhuangsai	144.000000	10.000000	16.000000	1.000000	9146.705	0.000000
wuhuangsai	145.000000	5.000000	16.000000	2.000000	2739.910	0.000000
wuhuangsai	146.000000	5.000000	6.000000	2.000000	1295.426	1.000000
wuhuangsai	147.000000	4.000000	14.000000	1.000000	2430.947	0.000000
wuhuangsai	148.000000	5.000000	19.000000	1.000000	1711.811	0.000000
wuhuangsai	149.000000	13.000000	15.000000	1.000000	1996.763	0.000000
wuhuangsai	150.000000	4.000000	15.000000	2.000000	1574.282	1.000000
wuhuangsai	151.000000	1.000000	19.000000	1.000000	1617.790	0.000000
wuhuangsai	152.000000	5.000000	9.000000	2.000000	1721.281	1.000000
wuhuangsai	153.000000	5.000000	14.000000	1.000000	3651.333	0.000000
wuhuangsai	154.000000	9.000000	12.000000	1.000000	3467.341	1.000000
wuhuangsai	155.000000	8.000000	14.000000	2.000000	2671.491	1.000000
wuhuangsai	156.000000	5.000000	13.000000	1.000000	1343.882	0.000000
wuhuangsai	157.000000	5.000000	18.000000	1.000000	1615.291	1.000000
wuhuangsai	158.000000	13.000000	17.000000	1.000000	1270.144	1.000000
wuhuangsai	159.000000	1.000000	7.000000	1.000000	2050.265	0.000000
wuhuangsai	160.000000	3.000000	14.000000	2.000000	1421.069	1.000000
wuhuangsai	161.000000	4.000000	7.000000	1.000000	4162.056	0.000000
wuhuangsai	162.000000	3.000000	11.000000	2.000000	1325.764	1.000000
wuhuangsai	163.000000	2.000000	3.000000	1.000000	1036.799	0.000000
wuhuangsai	164.000000	7.000000	15.000000	2.000000	1319.616	1.000000
wuhuangsai	165.000000	11.000000	17.000000	2.000000	952.464	0.000000
wuhuangsai	166.000000	6.000000	12.000000	1.000000	1101.869	1.000000
wuhuangsai	167.000000	5.000000	8.000000	2.000000	1477.912	1.000000
wuhuangsai	168.000000	10.000000	13.000000	2.000000	2152.051	1.000000
wuhuangsai	169.000000	8.000000	15.000000	1.000000	1670.963	0.000000
wuhuangsai	170.000000	2.000000	15.000000	2.000000	991.001	1.000000
wuhuangsai	171.000000	6.000000	14.000000	1.000000	1475.183	1.000000
wuhuangsai	172.000000	7.000000	18.000000	1.000000	1172.014	0.000000
wuhuangsai	173.000000	10.000000	20.000000	1.000000	1687.582	1.000000
wuhuangsai	174.000000	3.000000	15.000000	2.000000	2377.658	1.000000
wuhuangsai	175.000000	3.000000	8.000000	2.000000	1295.381	1.000000
wuhuangsai	176.000000	3.000000	19.000000	1.000000	1067.482	0.000000
wuhuangsai	177.000000	15.000000	18.000000	1.000000	524.931	1.000000
wuhuangsai	178.000000	7.000000	20.000000	2.000000	974.954	0.000000
wuhuangsai	179.000000	8.000000	16.000000	1.000000	1155.045	1.000000
wuhuangsai	180.000000	3.000000	16.000000	2.000000	1642.962	0.000000
wuhuangsai	181.000000	9.000000	17.000000	1.000000	1202.753	1.000000
wuhuangsai	182.000000	15.000000	19.000000	1.000000	1159.906	0.000000
wuhuangsai	183.000000	9.000000	20.000000	1.000000	1604.385	1.000000
wuhuangsai	184.000000	5.000000	17.000000	1.000000	1050.091	0.000000
wuhuangsai	185.000000	1.000000	18.000000	1.000000	1226.655	1.000000
wuhuangsai	186.000000	18.000000	20.000000	1.000000	1060.229	1.000000
wuhuangsai	187.000000	4.000000	12.000000	2.000000	2150.229	0.000000
wuhuangsai	188.000000	2.000000	16.000000	2.000000	642.511	1.000000
wuhuangsai	189.000000	8.000000	17.000000	2.000000	1348.573	0.000000
wuhuangsai	190.000000	2.000000	18.000000	2.000000	608.014	1.000000
