Sub	Trial	img1	img2	pos_ran	RT	Reaction
xuwei	1.000000	2.000000	10.000000	2.000000	4009.258	1.000000
xuwei	2.000000	2.000000	11.000000	2.000000	4476.313	1.000000
xuwei	3.000000	6.000000	15.000000	2.000000	2376.023	1.000000
xuwei	4.000000	6.000000	8.000000	2.000000	2855.657	0.000000
xuwei	5.000000	5.000000	12.000000	1.000000	2506.662	1.000000
xuwei	6.000000	2.000000	14.000000	2.000000	1538.876	1.000000
xuwei	7.000000	12.000000	16.000000	2.000000	2779.551	1.000000
xuwei	8.000000	10.000000	12.000000	1.000000	2409.834	1.000000
xuwei	9.000000	7.000000	20.000000	1.000000	3368.705	0.000000
xuwei	10.000000	10.000000	20.000000	2.000000	2167.058	0.000000
xuwei	11.000000	6.000000	12.000000	1.000000	1572.662	1.000000
xuwei	12.000000	8.000000	19.000000	1.000000	1946.918	1.000000
xuwei	13.000000	8.000000	11.000000	1.000000	2481.666	0.000000
xuwei	14.000000	16.000000	18.000000	1.000000	5203.182	1.000000
xuwei	15.000000	4.000000	14.000000	2.000000	3145.045	0.000000
xuwei	16.000000	1.000000	8.000000	2.000000	1072.874	1.000000
xuwei	17.000000	3.000000	15.000000	2.000000	2595.574	0.000000
xuwei	18.000000	7.000000	18.000000	2.000000	2809.111	0.000000
xuwei	19.000000	4.000000	13.000000	1.000000	5646.009	0.000000
xuwei	20.000000	2.000000	12.000000	2.000000	2720.678	0.000000
xuwei	21.000000	12.000000	15.000000	1.000000	4736.182	1.000000
xuwei	22.000000	6.000000	19.000000	2.000000	2176.000	0.000000
xuwei	23.000000	6.000000	11.000000	1.000000	2596.237	1.000000
xuwei	24.000000	9.000000	20.000000	2.000000	1273.214	1.000000
xuwei	25.000000	10.000000	16.000000	1.000000	2532.076	1.000000
xuwei	26.000000	3.000000	6.000000	2.000000	4404.285	1.000000
xuwei	27.000000	5.000000	6.000000	2.000000	4007.339	0.000000
xuwei	28.000000	7.000000	13.000000	1.000000	2354.383	0.000000
xuwei	29.000000	6.000000	17.000000	2.000000	1744.030	1.000000
xuwei	30.000000	13.000000	14.000000	2.000000	2360.157	1.000000
xuwei	31.000000	14.000000	15.000000	1.000000	1781.884	1.000000
xuwei	32.000000	10.000000	17.000000	1.000000	3634.601	1.000000
xuwei	33.000000	1.000000	9.000000	1.000000	3630.263	0.000000
xuwei	34.000000	14.000000	16.000000	2.000000	2259.428	0.000000
xuwei	35.000000	13.000000	17.000000	1.000000	4788.249	1.000000
xuwei	36.000000	19.000000	20.000000	2.000000	3641.706	0.000000
xuwei	37.000000	11.000000	17.000000	1.000000	1813.164	1.000000
xuwei	38.000000	4.000000	12.000000	1.000000	2337.944	1.000000
xuwei	39.000000	5.000000	14.000000	2.000000	1664.853	1.000000
xuwei	40.000000	4.000000	16.000000	1.000000	1419.114	1.000000
xuwei	41.000000	7.000000	15.000000	2.000000	5119.024	0.000000
xuwei	42.000000	5.000000	20.000000	2.000000	1814.266	1.000000
xuwei	43.000000	6.000000	14.000000	2.000000	2282.442	1.000000
xuwei	44.000000	1.000000	4.000000	2.000000	4709.830	0.000000
xuwei	45.000000	9.000000	16.000000	2.000000	3260.390	1.000000
xuwei	46.000000	2.000000	13.000000	1.000000	1310.745	0.000000
xuwei	47.000000	16.000000	19.000000	1.000000	2262.335	0.000000
xuwei	48.000000	14.000000	18.000000	1.000000	1126.478	1.000000
xuwei	49.000000	12.000000	18.000000	2.000000	1486.046	1.000000
xuwei	50.000000	11.000000	20.000000	1.000000	2040.088	0.000000
xuwei	51.000000	3.000000	16.000000	2.000000	3850.960	0.000000
xuwei	52.000000	8.000000	20.000000	1.000000	3277.380	1.000000
xuwei	53.000000	12.000000	20.000000	1.000000	2007.182	0.000000
xuwei	54.000000	2.000000	19.000000	1.000000	1499.346	0.000000
xuwei	55.000000	1.000000	19.000000	2.000000	1427.413	1.000000
